TgenCAM,Velocity,Heading,Distance,Timeout,Mixed
100,0.013690975132718636,0.24923162894663314,0.003352891869237217,0.0,0.021234981838502375
200,0.01676445934618609,0.18720312936574462,0.0002794076557697681,0.0,0.01760268231349539
300,0.015088013411567475,0.1075719474713607,0.0,0.0,0.010058675607711651
400,0.012293936853869796,0.06733724504051411,0.0005588153115395362,0.0,0.0072645990500139705
500,0.007544006705783738,0.04498463257893266,0.0002794076557697681,0.0,0.006426376082704666
600,0.006426376082704665,0.03520536462699078,0.0002794076557697681,0.0,0.0033528918692372167
700,0.003352891869237217,0.02514668901927913,0.0,0.0,0.0019558535903883767
800,0.003352891869237217,0.018720312936574463,0.0,0.0,0.0011176306230790724
900,0.003632299525006985,0.014249790444258172,0.0022352612461581448,0.0,0.0025146689019279124
1000,0.0025146689019279133,0.01033808326348142,0.021514389494272142,0.0,0.005588153115395363
1100,0.0002794076557697681,0.0033528918692372167,0.01872031293657446,0.0,0.0039117071807767525
1200,0.00027940765576976804,0.0016764459346186083,0.005867560771165129,0.0,0.0008382229673093042
1300,0.0002794076557697681,0.0,0.0002794076557697681,0.0,0.0005588153115395362
1400,0.0,0.0,0.0008382229673093043,0.0,0.0005588153115395362
1500,0.0,0.0,0.0,0.0,0.0
1600,0.0,0.0,0.0,0.0,0.0002794076557697681
1700,0.0,0.0,0.0,0.0,0.0
1800,0.0002794076557697681,0.0,0.0,0.0,0.0002794076557697681
1900,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0002794076557697681,0.0,0.0,0.0
2100,0.0,0.0002794076557697681,0.0,0.0,0.0
2200,0.0,0.0,0.0002794076557697681,0.0,0.0
2300,0.0,0.0002794076557697681,0.0002794076557697681,0.0,0.0
2400,0.0,0.0,0.0,0.0,0.0
2500,0.0,0.0,0.0,0.0,0.0002794076557697681
2600,0.0,0.0,0.0,0.0,0.0
2700,0.0,0.0,0.0,0.0,0.0
2800,0.0,0.0,0.0,0.0,0.0
2900,0.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0002794076557697681,0.0,0.0
3100,0.0,0.0,0.0,0.0,0.0
3200,0.0,0.0,0.0,0.0,0.0
3300,0.0,0.0,0.0,0.0,0.0
3400,0.0,0.0,0.0,0.0,0.0
3500,0.0,0.0,0.0,0.0,0.0
3600,0.0,0.0,0.0,0.0,0.0
3700,0.0,0.0,0.0,0.0,0.0
3800,0.0,0.0,0.0,0.0,0.0
3900,0.0,0.0,0.0,0.0,0.0
4000,0.0,0.0,0.0,0.0,0.0002794076557697681
4100,0.0,0.0,0.0,0.0,0.0002794076557697681
4200,0.0,0.0,0.0,0.0,0.0
4300,0.0,0.0,0.0,0.0,0.0
4400,0.0,0.0,0.0,0.0,0.0
4500,0.0,0.0,0.0,0.0,0.0
4600,0.0,0.0,0.0,0.0,0.0
4700,0.0,0.0002794076557697681,0.0,0.0,0.0
4800,0.0,0.0,0.0002794076557697681,0.0,0.0
4900,0.0,0.0,0.0,0.0,0.0
5000,0.0,0.0,0.0,0.008382229673093043,0.0
