seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
0,1654076151596232,0.000000,0.000000,134509.000000,-0.000000,0.000000,100,0,0,1,0
1,1654076151696373,100.141000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
2,1654076151796907,100.534000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
3,1654076151897284,100.377000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
4,1654076151997625,100.341000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
5,1654076152096259,98.634000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
6,1654076152196318,100.059000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
7,1654076152296302,99.984000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
8,1654076152396455,100.153000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
9,1654076152496292,99.837000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
10,1654076152596306,100.014000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
11,1654076152696292,99.986000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
12,1654076152796403,100.111000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
13,1654076152896317,99.914000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
14,1654076152996303,99.986000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
15,1654076153096260,99.957000,44.628293,10.948409,-0.000000,0.000000,100,0,0,1,0
16,1654076153196313,100.053000,44.628294,10.948409,-0.000000,0.000000,100,0,0,1,0
17,1654076153296316,100.003000,44.628294,10.948409,-0.000000,0.000000,100,0,0,1,0
18,1654076153396294,99.978000,44.628294,10.948409,-0.000000,0.000000,100,0,0,1,0
19,1654076153496302,100.008000,44.628294,10.948409,-0.000000,0.000000,100,0,0,1,0
20,1654076153596444,100.142000,44.628294,10.948409,-0.000000,0.000000,100,0,0,1,0
21,1654076153696307,99.863000,44.628294,10.948409,-0.000000,0.000000,100,0,0,1,0
22,1654076153796293,99.986000,44.628294,10.948409,-0.000000,0.000000,100,0,0,1,0
23,1654076153896318,100.025000,44.628294,10.948409,-0.000000,0.000000,100,0,0,1,0
24,1654076153996279,99.961000,44.628294,10.948409,-0.000000,0.000000,100,0,0,1,0
25,1654076154096294,100.015000,44.628294,10.948409,-0.000000,0.000000,100,0,0,1,0
26,1654076154196293,99.999000,44.628294,10.948408,-0.000000,0.000000,100,0,0,1,0
27,1654076154296298,100.005000,44.628294,10.948408,-0.000000,0.000000,100,0,0,1,0
28,1654076154396324,100.026000,44.628294,10.948408,-0.000000,0.000000,100,0,0,1,0
29,1654076154496294,99.970000,44.628294,10.948408,-0.000000,0.000000,100,0,0,1,0
