seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
0,1654076152266770,0.000000,0.000000,135023.000000,-0.000000,0.000000,287,0,0,1,0
1,1654076152316871,50.101000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
2,1654076152366833,49.962000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
3,1654076152416840,50.007000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
4,1654076152466851,50.011000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
5,1654076152516840,49.989000,44.628330,10.948455,-0.000000,0.000000,287,0,0,1,0
6,1654076152566868,50.028000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
7,1654076152616862,49.994000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
8,1654076152666866,50.004000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
9,1654076152716832,49.966000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
10,1654076152766830,49.998000,44.628330,10.948455,-0.000000,0.000000,287,0,0,1,0
11,1654076152816837,50.007000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
12,1654076152866872,50.035000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
13,1654076152916840,49.968000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
14,1654076152966869,50.029000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
15,1654076153018936,52.067000,44.628330,10.948455,-0.000000,0.000000,287,0,0,1,0
16,1654076153067374,48.438000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
17,1654076153116837,49.463000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
18,1654076153166832,49.995000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
19,1654076153218863,52.031000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
20,1654076153266840,47.977000,44.628330,10.948455,-0.000000,0.000000,287,0,0,1,0
21,1654076153316840,50.000000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
22,1654076153367239,50.399000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
23,1654076153416836,49.597000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
24,1654076153466829,49.993000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
25,1654076153517263,50.434000,44.628330,10.948455,-0.000000,0.000000,287,0,0,1,0
26,1654076153566867,49.604000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
27,1654076153616840,49.973000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
28,1654076153667186,50.346000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
29,1654076153716841,49.655000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
30,1654076153766864,50.023000,44.628330,10.948455,-0.000000,0.000000,287,0,0,1,0
31,1654076153817211,50.347000,44.628330,10.948455,-0.000000,0.000000,187,0,0,1,0
