seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
0,1654090800666356,0.000000,0.000000,138605.000000,-0.000000,0.000000,100,0,0,1,0
1,1654090800766432,100.076000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
2,1654090800866509,100.077000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
3,1654090800966448,99.939000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
4,1654090801066613,100.165000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
5,1654090801166441,99.828000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
6,1654090801266535,100.094000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
7,1654090801366417,99.882000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
8,1654090801466418,100.001000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
9,1654090801566438,100.020000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
10,1654090801666531,100.093000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
11,1654090801766447,99.916000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
12,1654090801866439,99.992000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
13,1654090801966458,100.019000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
14,1654090802066460,100.002000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
15,1654090802166423,99.963000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
16,1654090802266418,99.995000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
17,1654090802366419,100.001000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
18,1654090802466597,100.178000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
19,1654090802566441,99.844000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
20,1654090802666452,100.011000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
21,1654090802766447,99.995000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
22,1654090802866597,100.150000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
23,1654090802966418,99.821000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
24,1654090803066403,99.985000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
25,1654090803166449,100.046000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
26,1654090803266422,99.973000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
27,1654090803366420,99.998000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
28,1654090803466447,100.027000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
29,1654090803566446,99.999000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
30,1654090803666417,99.971000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
31,1654090803766450,100.033000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
32,1654090803866420,99.970000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
33,1654090803966643,100.223000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
34,1654090804066388,99.745000,44.628393,10.948552,-0.000000,0.000000,100,0,0,1,0
35,1654090804166421,100.033000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
36,1654090804266445,100.024000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
37,1654090804366426,99.981000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
38,1654090804466416,99.990000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
39,1654090804566455,100.039000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
40,1654090804666468,100.013000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
41,1654090804766422,99.954000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
42,1654090804866417,99.995000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
43,1654090804966449,100.032000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
44,1654090805066388,99.939000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
45,1654090805166431,100.043000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
46,1654090805266449,100.018000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
47,1654090805366443,99.994000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
48,1654090805466418,99.975000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
49,1654090805566423,100.005000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
50,1654090805666463,100.040000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
51,1654090805766436,99.973000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
52,1654090805866488,100.052000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
53,1654090805966425,99.937000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
54,1654090806066404,99.979000,44.628392,10.948552,-0.000000,0.000000,100,0,0,1,0
55,1654090806166420,100.016000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
56,1654090806266420,100.000000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
57,1654090806366429,100.009000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
58,1654090806466437,100.008000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
59,1654090806566418,99.981000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
60,1654090806666447,100.029000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
61,1654090806766448,100.001000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
62,1654090806866422,99.974000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
63,1654090806966416,99.994000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
64,1654090807066398,99.982000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
65,1654090807166423,100.025000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
66,1654090807266419,99.996000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
67,1654090807366419,100.000000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
68,1654090807466486,100.067000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
69,1654090807566422,99.936000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
70,1654090807666416,99.994000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
71,1654090807766444,100.028000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
72,1654090807866419,99.975000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
73,1654090807966652,100.233000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
74,1654090808066388,99.736000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
75,1654090808166483,100.095000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
76,1654090808266417,99.934000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
77,1654090808366427,100.010000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
78,1654090808466417,99.990000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
79,1654090808566417,100.000000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
80,1654090808666428,100.011000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
81,1654090808766418,99.990000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
82,1654090808866417,99.999000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
83,1654090808966383,99.966000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
84,1654090809066388,100.005000,44.628392,10.948551,-0.000000,0.000000,100,0,0,1,0
85,1654090809166417,100.029000,44.628389,10.948549,240.600000,0.180000,100,0,1,1,0
86,1654090809266417,100.000000,44.628388,10.948549,241.700000,0.190000,100,0,0,1,0
87,1654090809366420,100.003000,44.628388,10.948548,236.800000,0.310000,100,0,1,1,0
88,1654090809466425,100.005000,44.628388,10.948548,237.400000,0.340000,100,0,0,1,0
89,1654090809566439,100.014000,44.628388,10.948547,251.200000,0.290000,100,0,1,1,0
90,1654090809666418,99.979000,44.628388,10.948547,252.700000,0.350000,100,0,0,1,0
91,1654090809766417,99.999000,44.628387,10.948547,226.700000,0.350000,100,0,1,1,0
92,1654090809866420,100.003000,44.628387,10.948547,229.500000,0.230000,100,0,0,1,0
93,1654090809966418,99.998000,44.628387,10.948547,229.500000,0.000000,100,0,0,1,0
94,1654090810066384,99.966000,44.628387,10.948547,198.300000,0.150000,100,0,1,1,0
95,1654090810166423,100.039000,44.628386,10.948548,205.300000,0.150000,100,0,1,1,0
96,1654090810266442,100.019000,44.628386,10.948548,205.300000,0.000000,100,0,0,1,0
97,1654090810366424,99.982000,44.628386,10.948548,205.300000,0.000000,100,0,0,1,0
98,1654090810466418,99.994000,44.628387,10.948548,205.300000,0.000000,100,0,0,1,0
99,1654090810566420,100.002000,44.628387,10.948548,205.300000,0.000000,100,0,0,1,0
100,1654090810666416,99.996000,44.628386,10.948548,205.300000,0.000000,100,0,0,1,0
101,1654090810766416,100.000000,44.628387,10.948548,70.900000,0.160000,100,0,1,1,0
102,1654090810866415,99.999000,44.628386,10.948548,70.900000,0.000000,100,0,0,1,0
103,1654090810966443,100.028000,44.628387,10.948548,70.900000,0.000000,100,0,0,1,0
104,1654090811066385,99.942000,44.628387,10.948549,70.900000,0.000000,100,0,0,1,0
105,1654090811166417,100.032000,44.628390,10.948550,70.900000,0.000000,100,0,0,1,0
106,1654090811266420,100.003000,44.628390,10.948550,70.900000,0.000000,100,0,0,1,0
107,1654090811366420,100.000000,44.628390,10.948550,70.900000,0.000000,100,0,0,1,0
108,1654090811466417,99.997000,44.628390,10.948550,70.900000,0.000000,100,0,0,1,0
109,1654090811566422,100.005000,44.628390,10.948550,70.900000,0.000000,100,0,0,1,0
110,1654090811666419,99.997000,44.628390,10.948550,70.900000,0.000000,100,0,0,1,0
