seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
0,1638773163042762,0.000000,44.613354,10.917282,-1004698418073710460869769167173551186753039198760344192664380501181657037953087325661979857176726869398084413999557305843994511032851159410103960329221290609902817892518463562343717110882712455727055786232250368.000000,0.000000,300,0,0,0,1
1,1638773168042847,5000.085000,44.613335,10.917252,-1004698418073710460869769167173551186753039198760344192664380501181657037953087325661979857176726869398084413999557305843994511032851159410103960329221290609902817892518463562343717110882712455727055786232250368.000000,0.000000,300,0,0,0,1
2,1638773168142824,99.977000,44.613314,10.917073,-1004698418073710460869769167173551186753039198760344192664380501181657037953087325661979857176726869398084413999557305843994511032851159410103960329221290609902817892518463562343717110882712455727055786232250368.000000,0.000000,300,0,0,1,0
3,1638773170142828,2000.004000,44.613298,10.917019,-1004698418073710460869769167173551186753039198760344192664380501181657037953087325661979857176726869398084413999557305843994511032851159410103960329221290609902817892518463562343717110882712455727055786232250368.000000,0.000000,300,0,0,1,0
4,1638773175142830,5000.002000,44.613289,10.917010,-1004698418073710460869769167173551186753039198760344192664380501181657037953087325661979857176726869398084413999557305843994511032851159410103960329221290609902817892518463562343717110882712455727055786232250368.000000,0.000000,300,0,0,0,1
5,1638773180142831,5000.001000,44.613280,10.916970,-1004698418073710460869769167173551186753039198760344192664380501181657037953087325661979857176726869398084413999557305843994511032851159410103960329221290609902817892518463562343717110882712455727055786232250368.000000,0.000000,300,0,0,0,1
6,1638773184142837,4000.006000,44.613273,10.916911,-1004698418073710460869769167173551186753039198760344192664380501181657037953087325661979857176726869398084413999557305843994511032851159410103960329221290609902817892518463562343717110882712455727055786232250368.000000,0.000000,300,0,0,1,0
7,1638773188142818,3999.981000,44.613267,10.916850,-1004698418073710460869769167173551186753039198760344192664380501181657037953087325661979857176726869398084413999557305843994511032851159410103960329221290609902817892518463562343717110882712455727055786232250368.000000,0.000000,300,0,0,1,0
8,1638773190142817,1999.999000,44.613079,10.916937,0.300000,0.420000,300,0,0,1,0
9,1638773190242816,99.999000,44.613079,10.916937,5.300000,0.610000,300,0,1,0,0
10,1638773190442782,199.966000,44.613080,10.916938,30.200000,0.690000,300,0,1,0,0
11,1638773190542932,100.150000,44.613081,10.916939,45.200000,0.730000,300,0,1,0,0
12,1638773190642820,99.888000,44.613081,10.916940,31.400000,0.680000,300,0,1,0,0
13,1638773190842830,200.010000,44.613083,10.916941,35.800000,0.960000,300,0,1,0,0
14,1638773191042779,199.949000,44.613086,10.916941,9.900000,1.160000,300,0,1,0,0
15,1638773191242782,200.003000,44.613088,10.916928,34.900000,1.090000,300,0,1,0,0
16,1638773191342823,100.041000,44.613089,10.916929,29.700000,1.150000,300,0,1,0,0
17,1638773191442821,99.998000,44.613090,10.916929,25.000000,1.130000,300,0,1,0,0
18,1638773191642783,199.962000,44.613092,10.916930,15.600000,1.280000,300,0,1,0,0
19,1638773191742824,100.041000,44.613093,10.916931,37.600000,1.380000,300,0,1,0,0
20,1638773191942784,199.960000,44.613095,10.916935,52.900000,1.520000,300,0,1,0,0
21,1638773192142785,200.001000,44.613098,10.916922,22.500000,1.680000,300,0,1,0,0
22,1638773192242823,100.038000,44.613098,10.916921,28.500000,1.160000,300,1,1,0,0
23,1638773192342823,100.000000,44.613099,10.916922,22.200000,1.240000,300,0,1,0,0
24,1638773193042780,699.957000,44.613107,10.916928,33.100000,1.610000,300,0,1,0,0
25,1638773193142814,100.034000,44.613107,10.916932,13.800000,1.580000,300,0,1,0,0
26,1638773193342837,200.023000,44.613109,10.916933,19.400000,1.560000,300,0,1,0,0
27,1638773193442825,99.988000,44.613110,10.916934,15.200000,1.520000,300,0,1,0,0
28,1638773193542825,100.000000,44.613112,10.916935,19.600000,1.530000,300,0,1,0,0
29,1638773193642818,99.993000,44.613113,10.916935,12.500000,1.650000,300,0,1,0,0
30,1638773193742824,100.006000,44.613115,10.916934,6.000000,1.610000,300,0,1,0,0
31,1638773193842822,99.998000,44.613116,10.916936,21.700000,1.480000,300,0,1,0,0
32,1638773193942825,100.003000,44.613116,10.916937,32.500000,1.280000,300,0,1,0,0
