seq_num,timestamp,Tgen,latitude,longitude,heading,velocity,size,flag_speed,flag_heading,flag_distance,flag_timeout
0,1636018038302798,199.503,44.653159,10.863229,154.3,22.03,300,0,0,1,0
1,1636018038602225,299.427,44.653122,10.863253,154.5,22.22,300,0,0,1,0
2,1636018038703874,101.649,44.653086,10.863277,155.0,22.4,300,0,0,1,0
3,1636018038903370,199.496,44.653049,10.863301,155.3,22.6,300,0,0,1,0
4,1636018039103248,199.878,44.653012,10.863325,155.4,22.69,300,0,0,1,0
5,1636018039303125,199.877,44.652974,10.863349,155.6,22.98,300,0,0,1,0
6,1636018039503230,200.105,44.652936,10.863373,155.7,23.11,300,0,0,1,0
7,1636018039702947,199.717,44.652898,10.863397,155.7,23.32,300,0,0,1,0
8,1636018039902914,199.967,44.652859,10.863421,155.9,23.47,300,0,0,1,0
9,1636018040102918,200.004,44.65282,10.863445,155.9,23.53,300,0,0,1,0
10,1636018040302792,199.874,44.652781,10.86347,156.3,23.86,300,0,0,1,0
11,1636018040603084,300.292,44.652721,10.863506,156.2,24.08,300,0,0,1,0
12,1636018040802886,199.802,44.652681,10.863531,156.5,24.21,300,0,0,1,0
13,1636018041003035,200.149,44.652641,10.863556,156.4,24.45,300,0,0,1,0
14,1636018041202919,199.884,44.6526,10.86358,156.6,24.61,300,0,0,1,0
15,1636018041403410,200.491,44.652559,10.863605,156.6,24.77,300,0,0,1,0
16,1636018041602990,199.58,44.652519,10.86363,156.6,24.71,300,0,0,1,0
17,1636018041803534,200.544,44.652479,10.863654,156.6,24.52,300,0,0,1,0
18,1636018042003128,199.594,44.652439,10.863678,156.5,24.45,300,0,0,1,0
19,1636018042203373,200.245,44.652399,10.863703,156.4,24.33,300,0,0,1,0
20,1636018042402426,199.053,44.652359,10.863728,156.4,24.19,300,0,0,1,0
21,1636018042602732,200.306,44.652319,10.863752,156.5,24.31,300,0,0,1,0
22,1636018042803216,200.484,44.652279,10.863777,156.5,24.41,300,0,0,1,0
23,1636018043003143,199.927,44.652238,10.863801,156.3,24.55,300,0,0,1,0
24,1636018043203008,199.865,44.652198,10.863827,156.2,24.44,300,0,0,1,0
25,1636018043402400,199.392,44.652157,10.863851,156.4,24.67,300,0,0,1,0
26,1636018043602471,200.071,44.652116,10.863877,156.2,24.8,300,0,0,1,0
27,1636018043802939,200.468,44.652075,10.863902,156.3,24.85,300,0,0,1,0
28,1636018044002634,199.695,44.652034,10.863927,156.4,24.96,300,0,0,1,0
29,1636018044202719,200.085,44.651992,10.863953,156.4,25.2,300,0,0,1,0
30,1636018044402419,199.7,44.65195,10.863979,156.3,25.33,300,0,0,1,0
31,1636018044602773,200.354,44.651908,10.864004,156.4,25.5,300,0,0,1,0
32,1636018044902561,299.788,44.651845,10.864043,156.4,25.56,300,0,0,1,0
33,1636018045103376,200.815,44.651803,10.864069,156.5,25.45,300,0,0,1,0
34,1636018045302795,199.419,44.651761,10.864094,156.6,25.55,300,0,0,1,0
35,1636018045503258,200.463,44.651719,10.86412,156.7,25.55,300,0,0,1,0
36,1636018045702566,199.308,44.651677,10.864145,156.7,25.58,300,0,0,1,0
37,1636018045903266,200.7,44.651634,10.864171,156.8,25.67,300,0,0,1,0
38,1636018046102195,198.929,44.651592,10.864196,156.8,25.59,300,0,0,1,0
39,1636018046402925,300.73,44.651528,10.864235,156.7,25.77,300,0,0,1,0
40,1636018046602244,199.319,44.651485,10.864261,156.7,25.78,300,0,0,1,0
41,1636018046802289,200.045,44.651443,10.864286,156.7,25.84,300,0,0,1,0
42,1636018047002419,200.13,44.6514,10.864312,156.8,25.89,300,0,0,1,0
43,1636018047302923,300.504,44.651335,10.864351,156.7,26.0,300,0,0,1,0
44,1636018047502738,199.815,44.651292,10.864377,156.7,26.06,300,0,0,1,0
45,1636018047702735,199.997,44.651248,10.864404,156.6,26.2,300,0,0,1,0
46,1636018047902778,200.043,44.651205,10.86443,156.6,26.15,300,0,0,1,0
47,1636018048103125,200.347,44.651162,10.864456,156.5,26.14,300,0,0,1,0
48,1636018048302826,199.701,44.651118,10.864482,156.5,26.27,300,0,0,1,0
49,1636018048502490,199.664,44.651075,10.864509,156.6,26.28,300,0,0,1,0
50,1636018048702669,200.179,44.651031,10.864535,156.6,26.43,300,0,0,1,0
51,1636018048902189,199.52,44.650988,10.864562,156.4,26.41,300,0,0,1,0
52,1636018049102778,200.589,44.650944,10.864589,156.4,26.39,300,0,0,1,0
53,1636018049402294,299.516,44.650879,10.864629,156.4,26.43,300,0,0,1,0
54,1636018049603105,200.811,44.650835,10.864655,156.4,26.43,300,0,0,1,0
55,1636018049802397,199.292,44.650792,10.864682,156.3,26.5,300,0,0,1,0
56,1636018050003299,200.902,44.650748,10.864709,156.4,26.4,300,0,0,1,0
57,1636018050202520,199.221,44.650705,10.864736,156.5,26.43,300,0,0,1,0
58,1636018050402809,200.289,44.650661,10.864762,156.4,26.4,300,0,0,1,0
59,1636018050602987,200.178,44.650618,10.864789,156.4,26.42,300,0,0,1,0
60,1636018050802401,199.414,44.650574,10.864816,156.3,26.48,300,0,0,1,0
61,1636018051003211,200.81,44.65053,10.864842,156.5,26.47,300,0,0,1,0
62,1636018051202882,199.671,44.650487,10.864869,156.5,26.43,300,0,0,1,0
63,1636018051503247,300.365,44.650421,10.864909,156.5,26.46,300,0,0,1,0
64,1636018051802847,299.6,44.650356,10.864949,156.4,26.44,300,0,0,1,0
65,1636018052002780,199.933,44.650312,10.864976,156.4,26.44,300,0,0,1,0
66,1636018052202957,200.177,44.650269,10.865003,156.4,26.44,300,0,0,1,0
67,1636018052402611,199.654,44.650225,10.865029,156.3,26.44,300,0,0,1,0
68,1636018052602412,199.801,44.650182,10.865056,156.4,26.53,300,0,0,1,0
69,1636018052802517,200.105,44.650137,10.865083,156.4,26.7,300,0,0,1,0
70,1636018053102737,300.22,44.650071,10.865124,156.4,26.81,300,0,0,1,0
71,1636018053303396,200.659,44.650026,10.865152,156.3,27.0,300,0,0,1,0
72,1636018053502774,199.378,44.649981,10.865179,156.3,27.1,300,0,0,1,0
73,1636018053702293,199.519,44.649936,10.865207,156.3,27.21,300,0,0,1,0
74,1636018053902889,200.596,44.649891,10.865235,156.3,27.36,300,0,0,1,0
75,1636018054102211,199.322,44.649846,10.865263,156.4,27.44,300,0,0,1,0
76,1636018054302722,200.511,44.6498,10.865291,156.2,27.62,300,0,0,1,0
77,1636018054502839,200.117,44.649754,10.865319,156.4,27.73,300,0,0,1,0
78,1636018054703525,200.686,44.649708,10.865347,156.2,27.9,300,0,0,1,0
79,1636018054902945,199.42,44.649662,10.865376,156.2,28.05,300,0,0,1,0
80,1636018055102825,199.88,44.649616,10.865404,156.1,28.14,300,0,0,1,0
81,1636018055302902,200.077,44.649569,10.865434,156.0,28.25,300,0,0,1,0
82,1636018055502597,199.695,44.649523,10.865463,155.7,28.37,300,0,0,1,0
83,1636018055702763,200.166,44.649476,10.865493,155.6,28.46,300,0,0,1,0
84,1636018056002912,300.149,44.649406,10.865538,155.3,28.61,300,0,0,1,0
85,1636018056203141,200.229,44.649359,10.865569,155.1,28.71,300,0,0,1,0
86,1636018056402425,199.284,44.649313,10.865599,154.9,28.73,300,0,0,1,0
87,1636018056603125,200.7,44.649266,10.86563,154.8,28.72,300,0,0,1,0
88,1636018056802307,199.182,44.64922,10.865661,154.6,28.64,300,0,0,1,0
89,1636018057002384,200.077,44.649173,10.865692,154.7,28.67,300,0,0,1,0
90,1636018057302579,300.195,44.649126,10.865723,154.5,28.66,300,0,0,1,0
91,1636018057402739,100.16,44.64908,10.865754,154.7,28.68,300,0,0,1,0
92,1636018057603311,200.572,44.649033,10.865785,154.7,28.68,300,0,0,1,0
93,1636018057802951,199.64,44.648986,10.865816,154.7,28.69,300,0,0,1,0
94,1636018058003012,200.061,44.648939,10.865846,154.8,28.68,300,0,0,1,0
95,1636018058203206,200.194,44.648893,10.865877,154.8,28.71,300,0,0,1,0
96,1636018058402351,199.145,44.648846,10.865908,154.9,28.74,300,0,0,1,0
97,1636018058603609,201.258,44.648799,10.865938,155.2,28.77,300,0,0,1,0
98,1636018058802715,199.106,44.648752,10.865968,155.2,28.81,300,0,0,1,0
99,1636018059003240,200.525,44.648704,10.865999,155.3,28.81,300,0,0,1,0
100,1636018059302997,299.757,44.648633,10.866044,155.6,28.87,300,0,0,1,0
101,1636018059603749,300.752,44.648562,10.866089,155.8,28.96,300,0,0,1,0
102,1636018059802423,198.674,44.648515,10.866118,155.9,28.99,300,0,0,1,0
103,1636018060103160,300.737,44.648443,10.866163,156.0,29.07,300,0,0,1,0
104,1636018060303062,199.902,44.648395,10.866193,156.0,29.03,300,0,0,1,0
105,1636018060502855,199.793,44.648347,10.866223,156.1,29.11,300,0,0,1,0
106,1636018060703306,200.451,44.648299,10.866253,156.1,29.22,300,0,0,1,0
107,1636018060902732,199.426,44.648251,10.866283,156.1,29.15,300,0,0,1,0
108,1636018061203151,300.419,44.648203,10.866313,156.0,29.13,300,0,0,1,0
109,1636018061302409,99.258,44.648156,10.866342,156.1,29.16,300,0,0,1,0
110,1636018061502994,200.585,44.648107,10.866372,156.1,29.18,300,0,0,1,0
111,1636018061702462,199.468,44.64806,10.866402,156.0,29.18,300,0,0,1,0
112,1636018062004225,301.763,44.647988,10.866447,156.1,29.19,300,0,0,1,0
113,1636018062202775,198.55,44.64794,10.866477,156.1,29.18,300,0,0,1,0
114,1636018062502807,300.032,44.647868,10.866521,156.1,29.28,300,0,0,1,0
115,1636018062703313,200.506,44.647819,10.866551,156.1,29.27,300,0,0,1,0
116,1636018062902613,199.3,44.647771,10.866581,156.1,29.28,300,0,0,1,0
117,1636018063103166,200.553,44.647722,10.866611,156.1,29.37,300,0,0,1,0
118,1636018063302428,199.262,44.647674,10.866641,156.1,29.43,300,0,0,1,0
119,1636018063502377,199.949,44.647626,10.866671,155.9,29.35,300,0,0,1,0
120,1636018063802914,300.537,44.647553,10.866717,156.0,29.41,300,0,0,1,0
121,1636018064003176,200.262,44.647505,10.866747,156.0,29.43,300,0,0,1,0
122,1636018064203226,200.05,44.647456,10.866777,156.1,29.49,300,0,0,1,0
123,1636018064402940,199.714,44.647407,10.866807,156.0,29.56,300,0,0,1,0
124,1636018064603068,200.128,44.647358,10.866837,156.2,29.6,300,0,0,1,0
125,1636018064902656,299.588,44.64731,10.866867,156.2,29.62,300,0,0,1,0
126,1636018065003026,100.37,44.647261,10.866898,156.1,29.67,300,0,0,1,0
127,1636018065303332,300.306,44.647212,10.866928,156.3,29.64,300,0,0,1,0
128,1636018065402892,99.56,44.647163,10.866958,156.3,29.69,300,0,0,1,0
129,1636018065602986,200.094,44.647114,10.866988,156.3,29.72,300,0,0,1,0
130,1636018065802986,200.0,44.647065,10.867018,156.5,29.74,300,0,0,1,0
131,1636018066003145,200.159,44.647016,10.867048,156.4,29.71,300,0,0,1,0
132,1636018066203162,200.017,44.646967,10.867078,156.4,29.75,300,0,0,1,0
133,1636018066402802,199.64,44.646918,10.867107,156.4,29.67,300,0,0,1,0
134,1636018066602702,199.9,44.646869,10.867137,156.6,29.75,300,0,0,1,0
135,1636018066802987,200.285,44.646819,10.867167,156.5,29.77,300,0,0,1,0
136,1636018067002378,199.391,44.64677,10.867197,156.5,29.78,300,0,0,1,0
137,1636018067202286,199.908,44.646721,10.867227,156.5,29.82,300,0,0,1,0
138,1636018067403127,200.841,44.646672,10.867257,156.5,29.78,300,0,0,1,0
139,1636018067602398,199.271,44.646623,10.867287,156.5,29.82,300,0,0,1,0
140,1636018067902437,300.039,44.646549,10.867332,156.5,29.8,300,0,0,1,0
141,1636018068103482,201.045,44.646499,10.867362,156.5,29.8,300,0,0,1,0
142,1636018068302884,199.402,44.64645,10.867392,156.5,29.76,300,0,0,1,0
143,1636018068502945,200.061,44.646401,10.867422,156.5,29.77,300,0,0,1,0
144,1636018068703303,200.358,44.646352,10.867452,156.4,29.79,300,0,0,1,0
145,1636018068902198,198.895,44.646303,10.867482,156.3,29.84,300,0,0,1,0
146,1636018069103141,200.943,44.646254,10.867513,156.2,29.89,300,0,0,1,0
147,1636018069302769,199.628,44.646204,10.867543,156.2,29.9,300,0,0,1,0
148,1636018069502888,200.119,44.646155,10.867574,156.2,29.97,300,0,0,1,0
149,1636018069702870,199.982,44.646105,10.867605,156.2,30.1,300,0,0,1,0
150,1636018070003103,300.233,44.64603,10.867651,156.1,30.28,300,0,0,1,0
151,1636018070302961,299.858,44.645955,10.867698,156.1,30.47,300,0,0,1,0
152,1636018070502715,199.754,44.645905,10.867728,156.2,30.45,300,0,0,1,0
153,1636018070702789,200.074,44.645855,10.867759,156.2,30.51,300,0,0,1,0
154,1636018070902887,200.098,44.645805,10.86779,156.2,30.34,300,0,0,1,0
155,1636018071202317,299.43,44.64573,10.867836,156.2,30.4,300,0,0,1,0
156,1636018071403294,200.977,44.645679,10.867867,156.3,30.37,300,0,0,1,0
157,1636018071602837,199.543,44.645629,10.867898,156.3,30.38,300,0,0,1,0
158,1636018071802260,199.423,44.645579,10.867928,156.5,30.36,300,0,0,1,0
159,1636018072004093,201.833,44.645529,10.867959,156.5,30.42,300,0,0,1,0
160,1636018072202198,198.105,44.645479,10.867989,156.6,30.31,300,0,0,1,0
161,1636018072402750,200.552,44.645429,10.868019,156.7,30.24,300,0,0,1,0
162,1636018072603407,200.657,44.645379,10.86805,156.6,30.19,300,0,0,1,0
163,1636018072802916,199.509,44.64533,10.86808,156.6,30.11,300,0,0,1,0
164,1636018073003388,200.472,44.64528,10.86811,156.6,30.06,300,0,0,1,0
165,1636018073202688,199.3,44.64523,10.86814,156.6,30.03,300,0,0,1,0
166,1636018073402931,200.243,44.645181,10.86817,156.6,29.9,300,0,0,1,0
167,1636018073603008,200.077,44.645131,10.8682,156.5,29.87,300,0,0,1,0
168,1636018073802887,199.879,44.645082,10.86823,156.4,29.78,300,0,0,1,0
169,1636018074002858,199.971,44.645033,10.86826,156.4,29.78,300,0,0,1,0
170,1636018074203117,200.259,44.644984,10.868291,156.4,29.79,300,0,0,1,0
171,1636018074402588,199.471,44.644935,10.868321,156.3,29.8,300,0,0,1,0
172,1636018074603125,200.537,44.644885,10.868351,156.5,29.79,300,0,0,1,0
173,1636018074802871,199.746,44.644836,10.868381,156.5,0.0,300,1,0,1,0
174,1636018074902563,99.692,44.644812,10.868396,156.3,29.71,300,1,0,0,0
175,1636018075103492,200.929,44.644763,10.868426,156.4,29.72,300,0,0,1,0
176,1636018075302669,199.177,44.644714,10.868456,156.4,29.66,300,0,0,1,0
177,1636018075503162,200.493,44.644665,10.868486,156.5,29.65,300,0,0,1,0
178,1636018075702368,199.206,44.644616,10.868515,156.3,29.58,300,0,0,1,0
179,1636018075903244,200.876,44.644567,10.868545,156.4,29.52,300,0,0,1,0
180,1636018076102726,199.482,44.644518,10.868575,156.5,29.48,300,0,0,1,0
181,1636018076303437,200.711,44.644469,10.868605,156.4,29.52,300,0,0,1,0
182,1636018076502495,199.058,44.644421,10.868635,156.3,29.52,300,0,0,1,0
183,1636018076702669,200.174,44.644372,10.868665,156.3,29.49,300,0,0,1,0
