seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
400,1640166424117923,99.974000,44.579867,10.977824,289.700000,22.820000,300,1,0,0,0
401,1640166424317920,199.997000,44.579880,10.977768,289.500000,23.190000,300,0,0,1,0
402,1640166424417914,99.994000,44.579885,10.977743,289.100000,22.280000,300,1,0,0,0
403,1640166424617940,200.026000,44.579894,10.977691,286.700000,21.930000,300,0,0,1,0
404,1640166424818012,200.072000,44.579905,10.977638,286.100000,22.010000,300,0,0,1,0
405,1640166425018071,200.059000,44.579919,10.977584,287.200000,22.160000,300,0,0,1,0
406,1640166425117926,99.855000,44.579935,10.977545,289.700000,23.600000,300,1,0,0,0
407,1640166425317917,199.991000,44.579950,10.977489,289.900000,23.930000,300,0,0,1,0
408,1640166425517943,200.026000,44.579965,10.977432,290.100000,23.910000,300,0,0,1,0
409,1640166425717904,199.961000,44.579980,10.977375,289.900000,24.130000,300,0,0,1,0
410,1640166425917919,200.015000,44.579994,10.977317,289.800000,24.330000,300,0,0,1,0
411,1640166426117946,200.027000,44.580009,10.977259,289.800000,24.290000,300,0,0,1,0
412,1640166426317911,199.965000,44.580024,10.977202,290.300000,24.450000,300,0,0,1,0
413,1640166426517983,200.072000,44.580040,10.977143,290.400000,24.600000,300,0,0,1,0
414,1640166426717921,199.938000,44.580055,10.977085,290.100000,24.740000,300,0,0,1,0
415,1640166426917924,200.003000,44.580070,10.977026,290.100000,24.880000,300,0,0,1,0
416,1640166427117903,199.979000,44.580086,10.976967,290.200000,24.940000,300,0,0,1,0
417,1640166427318344,200.441000,44.580102,10.976907,290.200000,25.200000,300,0,0,1,0
418,1640166427517914,199.570000,44.580118,10.976847,290.100000,25.340000,300,0,0,1,0
419,1640166427717878,199.964000,44.580133,10.976786,289.900000,25.510000,300,0,0,1,0
420,1640166427917918,200.040000,44.580149,10.976725,289.600000,25.700000,300,0,0,1,0
421,1640166428117927,200.009000,44.580164,10.976663,289.500000,25.790000,300,0,0,1,0
422,1640166428317929,200.002000,44.580179,10.976601,289.000000,26.030000,300,0,0,1,0
423,1640166428517928,199.999000,44.580194,10.976539,288.900000,26.080000,300,0,0,1,0
424,1640166428717914,199.986000,44.580209,10.976476,288.600000,26.220000,300,0,0,1,0
425,1640166428917932,200.018000,44.580224,10.976414,288.700000,26.320000,300,0,0,1,0
426,1640166429117928,199.996000,44.580240,10.976351,288.800000,26.300000,300,0,0,1,0
427,1640166429317926,199.998000,44.580255,10.976288,288.800000,26.350000,300,0,0,1,0
428,1640166429517997,200.071000,44.580270,10.976224,288.500000,26.510000,300,0,0,1,0
429,1640166429717924,199.927000,44.580286,10.976161,288.700000,26.610000,300,0,0,1,0
430,1640166429917928,200.004000,44.580301,10.976098,288.600000,26.730000,300,0,0,1,0
431,1640166430117915,199.987000,44.580317,10.976034,288.900000,26.660000,300,0,0,1,0
432,1640166430317922,200.007000,44.580332,10.975969,288.700000,26.820000,300,0,0,1,0
433,1640166430517912,199.990000,44.580348,10.975905,288.800000,27.070000,300,0,0,1,0
434,1640166430717924,200.012000,44.580364,10.975839,288.600000,27.140000,300,0,0,1,0
435,1640166430917915,199.991000,44.580380,10.975775,288.900000,27.300000,300,0,0,1,0
436,1640166431117911,199.996000,44.580396,10.975709,289.000000,27.250000,300,0,0,1,0
437,1640166431317920,200.009000,44.580413,10.975644,289.100000,27.460000,300,0,0,1,0
438,1640166431517912,199.992000,44.580429,10.975579,289.100000,27.430000,300,0,0,1,0
439,1640166431717919,200.007000,44.580445,10.975514,289.200000,27.370000,300,0,0,1,0
440,1640166431917912,199.993000,44.580461,10.975449,289.000000,27.350000,300,0,0,1,0
441,1640166432117914,200.002000,44.580477,10.975385,289.300000,27.220000,300,0,0,1,0
442,1640166432317912,199.998000,44.580493,10.975320,289.300000,27.190000,300,0,0,1,0
443,1640166432518070,200.158000,44.580509,10.975256,289.600000,27.110000,300,0,0,1,0
444,1640166432717917,199.847000,44.580525,10.975192,289.500000,27.050000,300,0,0,1,0
445,1640166432918032,200.115000,44.580542,10.975128,289.700000,27.030000,300,0,0,1,0
446,1640166433117938,199.906000,44.580558,10.975063,289.500000,27.000000,300,0,0,1,0
447,1640166433317923,199.985000,44.580574,10.975000,289.700000,26.960000,300,0,0,1,0
448,1640166433517925,200.002000,44.580591,10.974936,289.800000,26.880000,300,0,0,1,0
449,1640166433717927,200.002000,44.580608,10.974872,290.100000,26.780000,300,0,0,1,0
450,1640166433917887,199.960000,44.580624,10.974810,290.000000,26.680000,300,0,0,1,0
451,1640166434117927,200.040000,44.580641,10.974746,290.200000,26.710000,300,0,0,1,0
452,1640166434317914,199.987000,44.580658,10.974684,290.400000,26.580000,300,0,0,1,0
453,1640166434517924,200.010000,44.580675,10.974621,290.600000,26.540000,300,0,0,1,0
454,1640166434717914,199.990000,44.580691,10.974559,290.500000,26.400000,300,0,0,1,0
455,1640166434917945,200.031000,44.580708,10.974497,290.800000,26.380000,300,0,0,1,0
456,1640166435117878,199.933000,44.580725,10.974434,290.900000,26.430000,300,0,0,1,0
457,1640166435317937,200.059000,44.580742,10.974372,291.300000,26.430000,300,0,0,1,0
458,1640166435518081,200.144000,44.580760,10.974310,291.200000,26.530000,300,0,0,1,0
459,1640166435717910,199.829000,44.580778,10.974248,291.700000,26.390000,300,0,0,1,0
460,1640166435917961,200.051000,44.580795,10.974186,291.700000,26.360000,300,0,0,1,0
461,1640166436117879,199.918000,44.580813,10.974125,291.700000,26.310000,300,0,0,1,0
462,1640166436317921,200.042000,44.580830,10.974063,291.900000,26.260000,300,0,0,1,0
463,1640166436517878,199.957000,44.580848,10.974003,292.100000,26.150000,300,0,0,1,0
464,1640166436718657,200.779000,44.580866,10.973942,292.200000,26.130000,300,0,0,1,0
465,1640166436917917,199.260000,44.580883,10.973881,292.100000,26.050000,300,0,0,1,0
466,1640166437117901,199.984000,44.580901,10.973821,292.400000,25.990000,300,0,0,1,0
467,1640166437317913,200.012000,44.580919,10.973760,292.300000,25.880000,300,0,0,1,0
468,1640166437517920,200.007000,44.580937,10.973700,292.400000,25.880000,300,0,0,1,0
469,1640166437717914,199.994000,44.580954,10.973640,292.400000,25.840000,300,0,0,1,0
470,1640166437917920,200.006000,44.580972,10.973580,292.500000,25.890000,300,0,0,1,0
471,1640166438117925,200.005000,44.580990,10.973519,292.500000,25.960000,300,0,0,1,0
472,1640166438317931,200.006000,44.581008,10.973459,292.700000,25.910000,300,0,0,1,0
473,1640166438517919,199.988000,44.581026,10.973398,292.700000,25.880000,300,0,0,1,0
474,1640166438717921,200.002000,44.581045,10.973338,292.900000,26.000000,300,0,0,1,0
475,1640166438918019,200.098000,44.581063,10.973278,292.900000,25.970000,300,0,0,1,0
476,1640166439117922,199.903000,44.581081,10.973217,293.100000,26.050000,300,0,0,1,0
477,1640166439317966,200.044000,44.581100,10.973157,293.200000,26.120000,300,0,0,1,0
478,1640166439517927,199.961000,44.581118,10.973096,293.100000,26.110000,300,0,0,1,0
479,1640166439717929,200.002000,44.581137,10.973036,293.500000,26.190000,300,0,0,1,0
480,1640166439917915,199.986000,44.581156,10.972975,293.700000,26.140000,300,0,0,1,0
