seq_num,timestamp,Tgen,latitude,longitude,heading,velocity,size,flag_speed,flag_heading,flag_distance,flag_timeout
0,1640166424117923,99.974,44.579867,10.977824,289.7,22.82,300,1,0,0,0
1,1640166424317920,199.997,44.57988,10.977768,289.5,23.19,300,0,0,1,0
2,1640166424417914,99.994,44.579885,10.977743,289.1,22.28,300,1,0,0,0
3,1640166424617940,200.026,44.579894,10.977691,286.7,21.93,300,0,0,1,0
4,1640166424818012,200.072,44.579905,10.977638,286.1,22.01,300,0,0,1,0
5,1640166425018071,200.059,44.579919,10.977584,287.2,22.16,300,0,0,1,0
6,1640166425117926,99.855,44.579935,10.977545,289.7,23.6,300,1,0,0,0
7,1640166425317917,199.991,44.57995,10.977489,289.9,23.93,300,0,0,1,0
8,1640166425517943,200.026,44.579965,10.977432,290.1,23.91,300,0,0,1,0
9,1640166425717904,199.961,44.57998,10.977375,289.9,24.13,300,0,0,1,0
10,1640166425917919,200.015,44.579994,10.977317,289.8,24.33,300,0,0,1,0
11,1640166426117946,200.027,44.580009,10.977259,289.8,24.29,300,0,0,1,0
12,1640166426317911,199.965,44.580024,10.977202,290.3,24.45,300,0,0,1,0
13,1640166426517983,200.072,44.58004,10.977143,290.4,24.6,300,0,0,1,0
14,1640166426717921,199.938,44.580055,10.977085,290.1,24.74,300,0,0,1,0
15,1640166426917924,200.003,44.58007,10.977026,290.1,24.88,300,0,0,1,0
16,1640166427117903,199.979,44.580086,10.976967,290.2,24.94,300,0,0,1,0
17,1640166427318344,200.441,44.580102,10.976907,290.2,25.2,300,0,0,1,0
18,1640166427517914,199.57,44.580118,10.976847,290.1,25.34,300,0,0,1,0
19,1640166427717878,199.964,44.580133,10.976786,289.9,25.51,300,0,0,1,0
20,1640166427917918,200.04,44.580149,10.976725,289.6,25.7,300,0,0,1,0
21,1640166428117927,200.009,44.580164,10.976663,289.5,25.79,300,0,0,1,0
22,1640166428317929,200.002,44.580179,10.976601,289.0,26.03,300,0,0,1,0
23,1640166428517928,199.999,44.580194,10.976539,288.9,26.08,300,0,0,1,0
24,1640166428717914,199.986,44.580209,10.976476,288.6,26.22,300,0,0,1,0
25,1640166428917932,200.018,44.580224,10.976414,288.7,26.32,300,0,0,1,0
26,1640166429117928,199.996,44.58024,10.976351,288.8,26.3,300,0,0,1,0
27,1640166429317926,199.998,44.580255,10.976288,288.8,26.35,300,0,0,1,0
28,1640166429517997,200.071,44.58027,10.976224,288.5,26.51,300,0,0,1,0
29,1640166429717924,199.927,44.580286,10.976161,288.7,26.61,300,0,0,1,0
30,1640166429917928,200.004,44.580301,10.976098,288.6,26.73,300,0,0,1,0
31,1640166430117915,199.987,44.580317,10.976034,288.9,26.66,300,0,0,1,0
32,1640166430317922,200.007,44.580332,10.975969,288.7,26.82,300,0,0,1,0
33,1640166430517912,199.99,44.580348,10.975905,288.8,27.07,300,0,0,1,0
34,1640166430717924,200.012,44.580364,10.975839,288.6,27.14,300,0,0,1,0
35,1640166430917915,199.991,44.58038,10.975775,288.9,27.3,300,0,0,1,0
36,1640166431117911,199.996,44.580396,10.975709,289.0,27.25,300,0,0,1,0
37,1640166431317920,200.009,44.580413,10.975644,289.1,27.46,300,0,0,1,0
38,1640166431517912,199.992,44.580429,10.975579,289.1,27.43,300,0,0,1,0
39,1640166431717919,200.007,44.580445,10.975514,289.2,27.37,300,0,0,1,0
40,1640166431917912,199.993,44.580461,10.975449,289.0,27.35,300,0,0,1,0
41,1640166432117914,200.002,44.580477,10.975385,289.3,27.22,300,0,0,1,0
42,1640166432317912,199.998,44.580493,10.97532,289.3,27.19,300,0,0,1,0
43,1640166432518070,200.158,44.580509,10.975256,289.6,27.11,300,0,0,1,0
44,1640166432717917,199.847,44.580525,10.975192,289.5,27.05,300,0,0,1,0
45,1640166432918032,200.115,44.580542,10.975128,289.7,27.03,300,0,0,1,0
46,1640166433117938,199.906,44.580558,10.975063,289.5,27.0,300,0,0,1,0
47,1640166433317923,199.985,44.580574,10.975,289.7,26.96,300,0,0,1,0
