latitude,longitude
44.650432,10.864971
44.650382,10.865002
44.650331,10.865033
44.650281,10.865065
44.65023,10.865096
44.650179,10.865128
44.650128,10.86516
44.650077,10.865192
44.650026,10.865224
44.649974,10.865257
44.649923,10.865289
44.649871,10.865322
44.649819,10.865355
44.649766,10.865388
44.649714,10.865421
44.649662,10.865455
44.649609,10.865489
44.649556,10.865523
44.649503,10.865556
44.649449,10.865591
44.649395,10.865625
44.649341,10.865659
44.649288,10.865693
44.649233,10.865728
44.649179,10.865762
44.649124,10.865797
44.649069,10.865831
44.649013,10.865866
44.648958,10.865901
44.648902,10.865936
44.648846,10.865971
44.64879,10.866006
44.648734,10.866041
44.648677,10.866077
44.648621,10.866112
44.648564,10.866147
44.648507,10.866183
44.648449,10.866219
44.648392,10.866254
44.648335,10.86629
44.648277,10.866325
44.648218,10.866361
44.648161,10.866397
44.648102,10.866433
44.648044,10.866469
44.647985,10.866505
44.647926,10.866541
44.647867,10.866578
44.647808,10.866614
44.647749,10.86665
44.647689,10.866687
44.64763,10.866724
44.64757,10.86676
44.647509,10.866797
44.647449,10.866834
44.647389,10.866871
44.647329,10.866908
44.647268,10.866946
44.647207,10.866983
44.647146,10.86702
44.647084,10.867059
44.647024,10.867096
44.646963,10.867134
44.646901,10.867172
44.646839,10.86721
44.646778,10.867248
44.646716,10.867286
44.646653,10.867325
44.646591,10.867363
44.646529,10.867402
44.646466,10.867441
44.646403,10.86748
44.646341,10.867519
44.646278,10.867557
44.646214,10.867597
44.646152,10.867635
44.646088,10.867675
44.646025,10.867713
44.645961,10.867753
44.645897,10.867792
44.645833,10.867832
44.64577,10.867871
44.645706,10.86791
44.645643,10.867949
44.645579,10.867989
44.645516,10.868029
44.645453,10.868069
44.64539,10.868109
44.645327,10.86815
44.645263,10.868191
44.6452,10.868232
44.645138,10.868273
44.645074,10.868314
44.645011,10.868355
44.644948,10.868396
44.644884,10.868438
44.644821,10.868479
44.644757,10.868519
44.644693,10.86856
44.644629,10.868601
44.644566,10.868641
44.644501,10.868682
44.644437,10.868723
44.644372,10.868764
44.644308,10.868805
44.644244,10.868846
44.644179,10.868887
44.644114,10.868928
44.644049,10.868969
44.643984,10.86901
44.643918,10.869051
44.643853,10.869091
44.643788,10.869132
44.643755,10.869153
44.64369,10.869193
44.643657,10.869214
44.643592,10.869254
44.643527,10.869295
44.643462,10.869335
44.643398,10.869375
44.643333,10.869415
44.643267,10.869456
44.643202,10.869496
44.643137,10.869536
44.643072,10.869576
44.643007,10.869616
44.642974,10.869637
44.642909,10.869677
44.642844,10.869718
44.642778,10.869758
44.642713,10.869798
44.642648,10.869839
44.642615,10.869859
44.642549,10.869899
44.642484,10.869939
44.642451,10.86996
44.642385,10.869999
44.642319,10.870039
44.642253,10.870079
44.642187,10.87012
44.642121,10.87016
44.642055,10.8702
44.64199,10.87024
44.641923,10.870281
44.641857,10.870321
44.641791,10.870361
44.641725,10.870401
44.641659,10.870441
44.641594,10.870481
44.64156,10.870501
44.641494,10.870541
44.641461,10.870561
44.641394,10.870601
44.641328,10.870642
44.641262,10.870683
44.641195,10.870723
44.641162,10.870744
44.641128,10.870764
44.641095,10.870785
44.641028,10.870826
44.640995,10.870846
44.640962,10.870867
44.640928,10.870887
44.640895,10.870907
44.640862,10.870928
44.640828,10.870948
44.640795,10.870969
44.640761,10.87099
44.640728,10.87101
44.640695,10.871031
44.640661,10.871052
44.640628,10.871072
44.640594,10.871093
44.640561,10.871114
44.640527,10.871135
44.640493,10.871155
44.64046,10.871176
44.640426,10.871197
44.640392,10.871217
44.640359,10.871238
44.640325,10.871259
44.640291,10.871279
44.640258,10.8713
44.640224,10.87132
44.64019,10.871341
44.640156,10.871361
44.640123,10.871381
44.640089,10.871402
44.640055,10.871422
44.640021,10.871443
44.639987,10.871463
44.639954,10.871484
44.63992,10.871504
44.639886,10.871524
44.639852,10.871545
44.639819,10.871566
44.639785,10.871586
44.639751,10.871607
44.639717,10.871627
44.639684,10.871647
44.639649,10.871668
44.639616,10.871688
44.639582,10.871709
44.639549,10.871729
44.639515,10.87175
44.639481,10.87177
44.639447,10.871791
44.639413,10.871811
44.639379,10.871832
44.639344,10.871853
44.639277,10.871893
44.639244,10.871914
44.63921,10.871934
44.639176,10.871955
44.639142,10.871975
44.639108,10.871996
44.639074,10.872017
44.63904,10.872037
44.639006,10.872057
44.638972,10.872078
44.638938,10.872099
44.638905,10.872119
44.63887,10.87214
44.638837,10.87216
44.638802,10.872181
44.638769,10.872201
44.638734,10.872222
44.638701,10.872243
44.638666,10.872264
44.638633,10.872284
44.638598,10.872305
44.638565,10.872325
44.63853,10.872346
44.638497,10.872366
44.638462,10.872387
44.638429,10.872408
44.638394,10.872429
44.638361,10.872449
44.638327,10.87247
44.638293,10.872491
44.638259,10.872512
44.638225,10.872532
44.638191,10.872553
44.638157,10.872574
44.638123,10.872594
44.638089,10.872615
44.638055,10.872636
44.638022,10.872657
44.637987,10.872678
44.637953,10.872699
44.63792,10.872719
44.637886,10.87274
44.637852,10.872761
44.637818,10.872782
44.637785,10.872803
44.637751,10.872824
44.637717,10.872845
44.637683,10.872865
44.637649,10.872886
44.637616,10.872907
44.637582,10.872928
44.637548,10.872948
44.637515,10.872969
44.637481,10.87299
44.637447,10.873011
44.637413,10.873032
44.63738,10.873052
44.637346,10.873073
44.637313,10.873094
44.637279,10.873115
44.637246,10.873135
44.637213,10.873156
44.637179,10.873177
44.637145,10.873198
44.637111,10.873219
44.637078,10.873239
44.637044,10.87326
44.637011,10.873281
44.636977,10.873302
44.636944,10.873322
44.63691,10.873343
44.636877,10.873364
44.636843,10.873384
44.636809,10.873405
44.636775,10.873426
44.636742,10.873447
44.636708,10.873468
44.636674,10.873489
44.63664,10.87351
44.636606,10.87353
44.636573,10.873551
44.636539,10.873571
44.636505,10.873592
44.636472,10.873613
44.636438,10.873634
44.636404,10.873655
44.63637,10.873676
44.636336,10.873697
44.636302,10.873717
44.636268,10.873738
44.636235,10.87376
44.636201,10.873781
44.636168,10.873806
44.636134,10.873822
44.6361,10.873842
44.636066,10.873864
44.636033,10.873885
44.635999,10.873906
44.635965,10.873927
44.635931,10.873948
44.635897,10.873969
44.635863,10.87399
44.635829,10.874012
44.635795,10.874033
44.635761,10.874054
44.635728,10.874075
44.635694,10.874096
44.63566,10.874117
44.635627,10.874138
44.635592,10.874159
44.635559,10.87418
44.635525,10.874201
44.635491,10.874222
44.635458,10.874243
44.635424,10.874264
44.63539,10.874285
44.635357,10.874305
44.635323,10.874326
44.635289,10.874347
44.635255,10.874368
44.635221,10.874389
44.635188,10.874409
44.635154,10.87443
44.63512,10.874451
44.635087,10.874472
44.635053,10.874492
44.635019,10.874514
44.634986,10.874534
44.634952,10.874555
44.634918,10.874576
44.634885,10.874596
44.634851,10.874617
44.634817,10.874638
44.634784,10.874658
44.63475,10.874679
44.634716,10.8747
44.634683,10.87472
44.634649,10.874741
44.634616,10.874762
44.634582,10.874782
44.634548,10.874803
44.634515,10.874823
44.634481,10.874844
44.634447,10.874864
44.634414,10.874884
44.634381,10.874905
44.634347,10.874925
44.634313,10.874945
44.63428,10.874966
44.634247,10.874986
44.634213,10.875007
44.634179,10.875027
44.634146,10.875048
44.634112,10.875068
44.634046,10.875109
44.634013,10.875129
44.633979,10.875149
44.633946,10.87517
44.633912,10.87519
44.633879,10.875211
44.633846,10.875231
44.633812,10.875251
44.633779,10.875272
44.633745,10.875292
44.633712,10.875313
44.633679,10.875333
44.633646,10.875353
44.633612,10.875374
44.633579,10.875394
44.633546,10.875415
44.633512,10.875435
44.633479,10.875455
44.633446,10.875476
44.633412,10.875496
44.633379,10.875516
44.633346,10.875537
44.633313,10.875557
44.633279,10.875577
44.633246,10.875598
44.633213,10.875618
44.63318,10.875638
44.633146,10.875658
44.633113,10.875679
44.63308,10.875699
44.633047,10.875719
44.633014,10.875739
44.63298,10.87576
44.632914,10.8758
44.632881,10.87582
44.632848,10.875841
44.632814,10.875861
44.632781,10.875881
44.632714,10.875922
44.632648,10.875962
44.632582,10.876003
44.632515,10.876043
44.632449,10.876084
44.632415,10.876104
44.632349,10.876144
44.632316,10.876164
44.632283,10.876184
44.632249,10.876204
44.632183,10.876244
44.632116,10.876284
44.632083,10.876304
44.63205,10.876324
44.632016,10.876344
44.631983,10.876364
44.631949,10.876384
44.631916,10.876404
44.631882,10.876424
44.631816,10.876463
44.631782,10.876484
44.631749,10.876504
44.631682,10.876544
44.631615,10.876583
44.631582,10.876603
44.631549,10.876623
44.631515,10.876643
44.631482,10.876663
44.631448,10.876683
44.631415,10.876703
44.631382,10.876723
44.631348,10.876743
44.631315,10.876763
44.631281,10.876783
44.631248,10.876803
44.631214,10.876822
44.631181,10.876842
44.631114,10.876882
44.631047,10.876922
44.630981,10.876961
44.630947,10.876981
44.630881,10.877021
44.630848,10.877041
44.630815,10.87706
44.630782,10.87708
44.630715,10.87712
44.630649,10.87716
44.630616,10.87718
44.63055,10.87722
44.630484,10.877259
44.630451,10.877279
44.630417,10.877299
44.630384,10.877319
44.630318,10.87736
44.630285,10.87738
44.630219,10.87742
44.630186,10.87744
44.630152,10.87746
44.630119,10.877481
44.630053,10.877521
44.63002,10.877542
44.629953,10.877583
44.629887,10.877624
44.629854,10.877644
44.629787,10.877685
44.629754,10.877705
44.629687,10.877746
44.629621,10.877787
44.629587,10.877807
44.629521,10.877848
44.629455,10.877889
44.629421,10.877909
44.629354,10.87795
44.629288,10.87799
44.629222,10.878031
44.629189,10.878052
44.629123,10.878092
44.629089,10.878113
44.629056,10.878133
44.629023,10.878154
44.628956,10.878195
44.628923,10.878215
44.62889,10.878235
44.628856,10.878256
44.628823,10.878276
44.62879,10.878297
44.628756,10.878318
44.628689,10.878358
44.628656,10.878378
44.628622,10.878399
44.628555,10.878437
44.628488,10.878474
44.628454,10.878497
44.628421,10.878519
44.628387,10.878539
44.628353,10.878559
44.628319,10.87858
44.628285,10.878601
44.628251,10.878621
44.628217,10.878642
44.628183,10.878662
44.628149,10.878683
44.628085,10.878722
44.628051,10.878742
44.628017,10.878762
44.62795,10.878802
44.627917,10.878822
44.627884,10.878842
44.62785,10.878862
44.627783,10.878902
44.62775,10.878922
44.627716,10.878942
44.627682,10.878962
44.627616,10.879002
44.627582,10.879022
44.627515,10.879061
44.627482,10.879081
44.627415,10.879121
44.627349,10.87916
44.627283,10.8792
44.627249,10.879219
44.627216,10.879239
44.627183,10.879259
44.62715,10.879278
44.627116,10.879298
44.627082,10.879318
44.627016,10.879357
44.62695,10.879396
44.626884,10.879436
44.626851,10.879456
44.626785,10.879495
