seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
0,1636018757530262,0.000000,0.000000,134511.000000,-0.000000,0.000000,287,0,0,1,0
1,1636018757580327,50.065000,0.000000,134511.000000,-0.000000,0.000000,187,0,0,1,0
2,1636018757630292,49.965000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
3,1636018757680358,50.066000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
4,1636018757730340,49.982000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
5,1636018757780352,50.012000,44.574664,10.982078,-0.000000,0.000000,287,0,0,1,0
6,1636018757830339,49.987000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
7,1636018757880356,50.017000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
8,1636018757930330,49.974000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
9,1636018757980352,50.022000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
10,1636018758030313,49.961000,44.574664,10.982078,-0.000000,0.000000,287,0,0,1,0
11,1636018758080315,50.002000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
12,1636018758130328,50.013000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
13,1636018758180923,50.595000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
14,1636018758230324,49.401000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
15,1636018758281533,51.209000,44.574664,10.982078,-0.000000,0.000000,287,0,0,1,0
16,1636018758330668,49.135000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
17,1636018758381247,50.579000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
18,1636018758430326,49.079000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
19,1636018758480342,50.016000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
20,1636018758530376,50.034000,44.574664,10.982078,-0.000000,0.000000,287,0,0,1,0
21,1636018758580323,49.947000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
22,1636018758630329,50.006000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
23,1636018758680355,50.026000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
24,1636018758730329,49.974000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
25,1636018758780348,50.019000,44.574664,10.982078,-0.000000,0.000000,287,0,0,1,0
26,1636018758830351,50.003000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
27,1636018758880401,50.050000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
28,1636018758930323,49.922000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
29,1636018758980340,50.017000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
30,1636018759030304,49.964000,44.574664,10.982078,-0.000000,0.000000,287,0,0,1,0
31,1636018759080309,50.005000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
32,1636018759130327,50.018000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
33,1636018759180352,50.025000,44.574664,10.982078,-0.000000,0.000000,187,0,0,1,0
