seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
25,1642086521409689,700.329000,44.627977,10.948156,217.000000,5.900000,300,0,0,1,0
26,1642086522209686,799.997000,44.627945,10.948122,217.400000,5.510000,300,0,0,1,0
27,1642086522909903,700.217000,44.627919,10.948094,217.400000,4.980000,300,1,0,0,0
28,1642086523509366,599.463000,44.627900,10.948074,216.400000,4.340000,300,1,0,0,0
29,1642086523909367,400.001000,44.627889,10.948062,217.100000,3.800000,300,1,0,0,0
30,1642086524209375,300.008000,44.627882,10.948055,216.400000,3.170000,300,1,0,0,0
31,1642086524709612,500.237000,44.627873,10.948045,218.200000,2.430000,300,1,0,0,0
32,1642086525209362,499.750000,44.627866,10.948038,217.500000,1.850000,300,1,0,0,0
33,1642086525910046,700.684000,44.627858,10.948029,215.700000,1.310000,300,1,0,0,0
34,1642086526409365,499.319000,44.627855,10.948026,217.900000,0.640000,300,1,0,0,0
35,1642086527409362,999.997000,44.627853,10.948023,218.000000,0.250000,300,0,0,0,1
36,1642086528409378,1000.016000,44.627852,10.948021,218.000000,0.000000,300,0,0,0,1
37,1642086529409364,999.986000,44.627850,10.948018,218.000000,0.500000,300,1,0,0,0
38,1642086529709375,300.011000,44.627847,10.948016,214.900000,1.050000,300,1,0,0,0
39,1642086530209364,499.989000,44.627841,10.948009,212.000000,1.720000,300,1,0,0,0
40,1642086530509670,300.306000,44.627836,10.948005,208.600000,2.240000,300,1,0,0,0
41,1642086531209364,699.694000,44.627822,10.947994,203.300000,2.830000,300,1,1,0,0
42,1642086531709367,500.003000,44.627809,10.947988,199.000000,3.180000,300,0,1,0,0
43,1642086532109499,400.132000,44.627797,10.947984,194.900000,3.480000,300,0,1,0,0
44,1642086532409369,299.870000,44.627786,10.947981,190.600000,3.900000,300,0,1,0,0
45,1642086532809368,399.999000,44.627773,10.947979,185.600000,3.860000,300,0,1,0,0
46,1642086533109465,300.097000,44.627763,10.947979,181.400000,3.790000,300,0,1,0,0
47,1642086533509377,399.912000,44.627748,10.947980,177.300000,4.070000,300,0,1,0,0
48,1642086534509367,999.990000,44.627714,10.947984,175.000000,3.790000,300,0,0,0,1
49,1642086535509366,999.999000,44.627682,10.947986,179.200000,3.380000,300,0,1,0,0
50,1642086536010167,500.801000,44.627669,10.947985,183.600000,2.980000,300,0,1,0,0
51,1642086536609442,599.275000,44.627656,10.947982,186.100000,2.440000,300,1,0,0,0
52,1642086536909364,299.922000,44.627651,10.947981,191.600000,2.050000,300,0,1,0,0
53,1642086537309379,400.015000,44.627645,10.947980,189.700000,1.510000,300,1,0,0,0
54,1642086537510109,200.730000,44.627643,10.947978,197.400000,1.400000,300,0,1,0,0
55,1642086537809474,299.365000,44.627641,10.947978,185.700000,0.980000,300,0,1,0,0
56,1642086538109582,300.108000,44.627640,10.947977,192.200000,0.660000,300,0,1,0,0
57,1642086538409366,299.784000,44.627640,10.947977,192.200000,0.000000,300,1,0,0,0
58,1642086539409383,1000.017000,44.627640,10.947977,192.200000,0.000000,300,0,0,0,1
59,1642086540409764,1000.381000,44.627639,10.947977,192.200000,0.000000,300,0,0,0,1
60,1642086541409469,999.705000,44.627639,10.947978,192.200000,0.000000,300,0,0,0,1
61,1642086542409433,999.964000,44.627639,10.947978,192.200000,0.000000,300,0,0,0,1
62,1642086543109540,700.107000,44.627633,10.947976,192.200000,0.980000,300,1,0,0,0
63,1642086543209479,99.939000,44.627632,10.947975,197.100000,1.210000,300,0,1,0,0
64,1642086543709379,499.900000,44.627626,10.947973,192.600000,1.400000,300,0,1,0,0
65,1642086543909411,200.032000,44.627623,10.947972,199.000000,1.520000,300,0,1,0,0
66,1642086544109334,199.923000,44.627620,10.947972,192.400000,1.520000,300,0,1,0,0
67,1642086544209372,100.038000,44.627618,10.947971,197.600000,1.690000,300,0,1,0,0
68,1642086544909379,700.007000,44.627605,10.947966,195.700000,2.350000,300,1,0,0,0
69,1642086545209367,299.988000,44.627599,10.947961,201.200000,2.610000,300,0,1,0,0
70,1642086546010254,800.887000,44.627579,10.947951,202.400000,3.180000,300,1,0,0,0
71,1642086546209445,199.191000,44.627574,10.947944,206.600000,3.410000,300,0,1,0,0
72,1642086546809365,599.920000,44.627557,10.947930,211.200000,3.920000,300,1,1,0,0
73,1642086547409800,600.435000,44.627537,10.947911,215.500000,4.380000,300,0,1,0,0
74,1642086547909784,499.984000,44.627522,10.947894,219.900000,4.490000,300,0,1,0,0
75,1642086548409365,499.581000,44.627507,10.947874,224.300000,4.740000,300,0,1,0,0
76,1642086549409661,1000.296000,44.627480,10.947834,227.000000,4.650000,300,0,0,1,0
77,1642086549909658,499.997000,44.627465,10.947810,229.400000,5.170000,300,1,0,0,0
78,1642086550709570,799.912000,44.627440,10.947771,228.100000,4.970000,300,0,0,1,0
79,1642086551609368,899.798000,44.627417,10.947731,229.400000,4.510000,300,0,0,1,0
80,1642086552010144,400.776000,44.627407,10.947716,229.200000,4.000000,300,1,0,0,0
81,1642086552709366,699.222000,44.627393,10.947693,229.600000,3.190000,300,1,0,0,0
82,1642086553209360,499.994000,44.627386,10.947680,227.700000,2.560000,300,1,0,0,0
83,1642086553609720,400.360000,44.627381,10.947672,226.000000,1.990000,300,1,0,0,0
84,1642086554010187,400.467000,44.627377,10.947666,232.500000,1.530000,300,0,1,0,0
85,1642086554109381,99.194000,44.627377,10.947664,227.200000,1.490000,300,0,1,0,0
86,1642086555109494,1000.113000,44.627367,10.947649,227.900000,1.720000,300,0,0,0,1
87,1642086555609366,499.872000,44.627360,10.947639,229.100000,2.260000,300,1,0,0,0
88,1642086556109647,500.281000,44.627352,10.947625,229.500000,2.850000,300,1,0,0,0
89,1642086556909835,800.188000,44.627341,10.947606,228.600000,2.250000,300,1,0,0,0
90,1642086557509372,599.537000,44.627335,10.947597,227.800000,1.470000,300,1,0,0,0
91,1642086557709626,200.254000,44.627334,10.947595,235.800000,1.080000,300,0,1,0,0
92,1642086557809363,99.737000,44.627333,10.947594,229.800000,0.940000,300,0,1,0,0
93,1642086558209801,400.438000,44.627332,10.947593,226.100000,0.330000,300,1,0,0,0
94,1642086559209377,999.576000,44.627332,10.947595,226.100000,0.000000,300,0,0,0,1
95,1642086560109633,900.256000,44.627330,10.947593,226.100000,0.510000,300,1,0,0,0
96,1642086560509538,399.905000,44.627327,10.947588,226.200000,1.090000,300,1,0,0,0
97,1642086560910014,400.476000,44.627323,10.947582,227.300000,1.730000,300,1,0,0,0
98,1642086561309377,399.363000,44.627318,10.947573,227.300000,2.270000,300,1,0,0,0
