seq_num,timestamp,Tgen,latitude,longitude,heading,velocity,size,flag_speed,flag_heading,flag_distance,flag_timeout
0,1635151856171980,400.014,44.62784,10.948012,211.6,2.1,300,0,1,0,0
1,1635151856471970,299.99,44.627834,10.948007,209.4,2.74,300,1,0,0,0
2,1635151856771972,300.002,44.627826,10.948002,205.2,3.06,300,0,1,0,0
3,1635151857071937,299.965,44.627818,10.947998,199.9,3.27,300,0,1,0,0
4,1635151857371972,300.035,44.627809,10.947995,195.0,3.49,300,0,1,0,0
5,1635151857671973,300.001,44.6278,10.947993,190.1,3.5,300,0,1,0,0
6,1635151858071932,399.959,44.627787,10.947992,183.7,3.73,300,0,1,0,0
7,1635151858271977,200.045,44.627781,10.947992,177.9,3.71,300,0,1,0,0
8,1635151858971971,699.994,44.627756,10.947996,172.1,4.21,300,1,1,0,0
9,1635151859972053,1000.082,44.627718,10.948004,170.3,4.46,300,0,0,1,0
10,1635151860271987,299.934,44.627706,10.948005,174.3,4.37,300,0,1,0,0
11,1635151860771968,499.981,44.627687,10.948005,179.7,4.32,300,0,1,0,0
12,1635151861171974,400.006,44.627673,10.948003,183.8,4.1,300,0,1,0,0
13,1635151861471973,299.999,44.627663,10.948001,188.1,4.0,300,0,1,0,0
14,1635151861871967,399.994,44.627649,10.947997,192.1,3.93,300,0,1,0,0
15,1635151862271976,400.009,44.627636,10.947992,196.4,3.78,300,0,1,0,0
16,1635151862871960,599.984,44.627616,10.947982,200.7,3.87,300,0,1,0,0
17,1635151863271954,399.994,44.627602,10.947974,204.7,4.25,300,0,1,0,0
18,1635151863771957,500.003,44.627583,10.947961,208.9,4.61,300,0,1,0,0
19,1635151864271967,500.01,44.627564,10.947944,213.0,5.13,300,1,1,0,0
20,1635151864871971,600.004,44.627541,10.947919,217.6,5.61,300,0,1,0,0
21,1635151865271960,399.989,44.627525,10.947899,222.9,5.86,300,0,1,0,0
22,1635151865871970,600.01,44.627502,10.947866,227.8,6.28,300,0,1,0,0
23,1635151866571970,700.0,44.627474,10.947823,229.3,6.71,300,0,0,1,0
24,1635151867171960,599.99,44.62745,10.947784,229.4,6.87,300,0,0,1,0
25,1635151867771960,600.0,44.627426,10.947745,229.3,6.77,300,0,0,1,0
26,1635151868471960,700.0,44.627399,10.947701,230.0,6.48,300,0,0,1,0
27,1635151869071936,599.976,44.627378,10.947667,229.2,5.94,300,1,0,0,0
28,1635151869471965,400.029,44.627365,10.947647,228.4,5.38,300,1,0,0,0
29,1635151869871975,400.01,44.627353,10.947629,228.2,4.78,300,1,0,0,0
30,1635151870171962,299.987,44.627345,10.947617,228.5,4.27,300,1,0,0,0
31,1635151870572036,400.074,44.627336,10.947603,228.0,3.55,300,1,0,0,0
