latitude,longitude
44.627507,10.947874
44.62748,10.947834
44.627465,10.94781
44.62744,10.947771
44.627417,10.947731
44.627407,10.947716
44.627393,10.947693
44.627386,10.94768
44.627381,10.947672
44.627377,10.947666
44.627377,10.947664
44.627367,10.947649
44.62736,10.947639
44.627352,10.947625
44.627341,10.947606
44.627335,10.947597
44.627334,10.947595
44.627333,10.947594
44.627332,10.947593
44.627332,10.947595
44.62733,10.947593
44.627327,10.947588
44.627323,10.947582
44.627318,10.947573
44.62731,10.947559
44.627306,10.947555
44.627304,10.947551
44.627301,10.947548
44.627299,10.947545
44.627299,10.947545
44.627299,10.947545
44.627299,10.947544
44.627299,10.947544
44.627299,10.947543
44.627299,10.947543
44.6273,10.947543
44.627301,10.947542
44.627301,10.947542
44.627302,10.947542
44.627303,10.947543
44.627304,10.947543
44.627304,10.947544
44.627305,10.947544
44.627305,10.947544
44.627306,10.947545
44.627307,10.947545
44.627306,10.947545
44.627306,10.947545
44.627306,10.947546
44.627305,10.947546
44.627309,10.947552
44.627301,10.947544
44.627299,10.947544
44.62729,10.947539
44.627283,10.947537
44.627279,10.947537
44.627271,10.947534
44.627264,10.947535
44.627256,10.947537
44.627248,10.94754
44.627239,10.947544
44.627229,10.947549
44.627216,10.947558
44.627194,10.947576
44.627176,10.947593
44.627162,10.947608
44.627136,10.947635
44.627109,10.947667
44.627086,10.947693
44.627062,10.947723
44.627031,10.947763
44.627,10.947801
44.626968,10.947842
44.626941,10.947878
44.626912,10.947915
44.626883,10.947955
44.626853,10.947995
44.626822,10.948037
44.626791,10.948079
44.626759,10.948123
44.626725,10.948166
44.626692,10.94821
44.626657,10.948254
44.626623,10.9483
44.626588,10.948345
44.626553,10.948389
44.626519,10.948434
44.626484,10.948479
44.62645,10.948523
44.626415,10.948567
44.626382,10.948612
44.626347,10.948656
44.626312,10.9487
44.626277,10.948746
44.626242,10.948791
44.626206,10.948835
44.626171,10.948879
44.626136,10.948922
44.626102,10.948965
44.626068,10.949007
44.626033,10.949049
44.625999,10.949091
44.625965,10.949133
44.625931,10.949172
44.625896,10.94921
44.625863,10.949249
44.625829,10.949286
44.625797,10.949325
44.625764,10.949364
44.625732,10.949404
44.625701,10.949443
44.625671,10.949485
44.625641,10.949527
