seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
0,1635151837013748,0.000000,44.628164,10.948331,-0.000000,0.000000,287,0,0,1,0
1,1635151837063799,50.051000,44.628164,10.948331,-0.000000,0.000000,187,0,0,1,0
2,1635151837113822,50.023000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
3,1635151837163805,49.983000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
4,1635151837213819,50.014000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
5,1635151837263824,50.005000,44.628164,10.948332,-0.000000,0.000000,287,0,0,1,0
6,1635151837313817,49.993000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
7,1635151837363915,50.098000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
8,1635151837413822,49.907000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
9,1635151837463866,50.044000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
10,1635151837513817,49.951000,44.628164,10.948332,-0.000000,0.000000,287,0,0,1,0
11,1635151837563824,50.007000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
12,1635151837613814,49.990000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
13,1635151837663823,50.009000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
14,1635151837714059,50.236000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
15,1635151837763821,49.762000,44.628164,10.948332,-0.000000,0.000000,287,0,0,1,0
16,1635151837813830,50.009000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
17,1635151837863813,49.983000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
18,1635151837913812,49.999000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
19,1635151837963828,50.016000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
20,1635151838022237,58.409000,44.628164,10.948332,-0.000000,0.000000,287,0,0,1,0
21,1635151838063776,41.539000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
22,1635151838113827,50.051000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
23,1635151838163847,50.020000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
24,1635151838213817,49.970000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
25,1635151838263812,49.995000,44.628164,10.948332,-0.000000,0.000000,287,0,0,1,0
26,1635151838313814,50.002000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
27,1635151838363821,50.007000,44.628164,10.948332,-0.000000,0.000000,187,0,0,1,0
