seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
70,1635935550251881,999.941000,44.627875,10.948066,216.700000,3.920000,300,0,0,0,1
71,1635935550951915,700.034000,44.627857,10.948048,215.400000,3.350000,300,1,0,0,0
72,1635935551551896,599.981000,44.627843,10.948037,211.900000,2.780000,300,1,0,0,0
73,1635935551751888,199.992000,44.627840,10.948033,216.100000,2.580000,300,0,1,0,0
74,1635935552251896,500.008000,44.627832,10.948026,215.200000,1.980000,300,1,0,0,0
75,1635935553251893,999.997000,44.627820,10.948014,216.500000,1.380000,300,1,0,0,0
76,1635935553851879,599.986000,44.627815,10.948009,212.300000,0.900000,300,0,1,0,0
77,1635935554351887,500.008000,44.627814,10.948007,214.400000,0.250000,300,1,0,0,0
78,1635935555352362,1000.475000,44.627815,10.948008,214.400000,0.000000,300,0,0,0,1
79,1635935556351888,999.526000,44.627816,10.948009,214.400000,0.000000,300,0,0,0,1
80,1635935557351886,999.998000,44.627816,10.948009,214.400000,0.000000,300,0,0,0,1
81,1635935558351879,999.993000,44.627816,10.948009,214.400000,0.000000,300,0,0,0,1
82,1635935559351902,1000.023000,44.627816,10.948009,214.400000,0.000000,300,0,0,0,1
83,1635935560351891,999.989000,44.627816,10.948009,214.400000,0.000000,300,0,0,0,1
84,1635935561351895,1000.004000,44.627816,10.948009,214.400000,0.000000,300,0,0,0,1
85,1635935562151858,799.963000,44.627811,10.948004,212.200000,1.160000,300,1,0,0,0
86,1635935562451897,300.039000,44.627807,10.948001,209.300000,1.720000,300,1,0,0,0
87,1635935562851896,399.999000,44.627800,10.947995,210.700000,2.310000,300,1,0,0,0
88,1635935562951880,99.984000,44.627797,10.947994,206.600000,2.410000,300,0,1,0,0
89,1635935563351911,400.031000,44.627788,10.947989,201.300000,2.830000,300,0,1,0,0
90,1635935563851892,499.981000,44.627775,10.947984,194.400000,3.280000,300,0,1,0,0
91,1635935564151896,300.004000,44.627767,10.947981,189.600000,3.180000,300,0,1,0,0
92,1635935564451901,300.005000,44.627757,10.947980,184.900000,3.430000,300,0,1,0,0
93,1635935565051856,599.955000,44.627740,10.947979,180.500000,3.490000,300,0,1,0,0
94,1635935565251884,200.028000,44.627734,10.947980,176.400000,3.440000,300,0,1,0,0
95,1635935566251910,1000.026000,44.627702,10.947981,176.300000,3.570000,300,0,0,0,1
96,1635935566852007,600.097000,44.627684,10.947982,178.600000,2.930000,300,1,0,0,0
97,1635935567151854,299.847000,44.627679,10.947982,180.300000,2.160000,300,1,0,0,0
98,1635935567451881,300.027000,44.627675,10.947982,175.600000,1.600000,300,1,1,0,0
