seq_num,timestamp,Tgen,latitude,longitude,heading,velocity,size,flag_speed,flag_heading,flag_distance,flag_timeout
0,1635155137630937,500.008,44.632542,10.939475,128.5,8.8,300,0,0,1,0
1,1635155138130911,499.974,44.632517,10.939518,129.2,8.77,300,0,0,1,0
2,1635155138631037,500.126,44.632491,10.939562,129.7,9.22,300,0,0,1,0
3,1635155139130927,499.89,44.632463,10.939607,130.6,9.29,300,0,0,1,0
4,1635155139530920,399.993,44.632439,10.939643,132.7,9.88,300,1,0,0,0
5,1635155140030928,500.008,44.632408,10.939688,133.9,10.08,300,0,0,1,0
6,1635155140430928,400.0,44.632383,10.939726,133.9,10.26,300,0,0,1,0
7,1635155140830982,400.054,44.632356,10.939763,134.2,10.49,300,0,0,1,0
8,1635155141230913,399.931,44.632329,10.939802,134.6,10.8,300,0,0,1,0
9,1635155141630914,400.001,44.632301,10.93984,136.2,10.95,300,0,0,1,0
10,1635155142030909,399.995,44.632271,10.939877,138.0,11.21,300,0,0,1,0
11,1635155142431452,400.543,44.632242,10.939916,138.9,11.3,300,0,0,1,0
12,1635155142830927,399.475,44.63221,10.939954,139.8,11.54,300,0,0,1,0
13,1635155143230929,400.002,44.632178,10.939991,141.5,11.61,300,0,0,1,0
14,1635155143630922,399.993,44.632145,10.940029,140.7,11.77,300,0,0,1,0
15,1635155144030882,399.96,44.632112,10.940066,140.7,11.78,300,0,0,1,0
16,1635155144430913,400.031,44.632079,10.940101,142.4,11.71,300,0,0,1,0
17,1635155144830922,400.009,44.632045,10.940138,142.2,11.98,300,0,0,1,0
18,1635155145230925,400.003,44.63201,10.940174,143.8,12.11,300,0,0,1,0
19,1635155145630944,400.019,44.631976,10.940212,141.7,12.25,300,0,0,1,0
20,1635155146030880,399.936,44.63194,10.940249,143.5,12.29,300,0,0,1,0
21,1635155146431007,400.127,44.631904,10.940285,144.2,12.19,300,0,0,1,0
22,1635155146830914,399.907,44.631869,10.940321,144.5,12.18,300,0,0,1,0
23,1635155147230912,399.998,44.631833,10.940358,144.8,12.2,300,0,0,1,0
24,1635155147630931,400.019,44.631797,10.940394,144.6,12.19,300,0,0,1,0
25,1635155148030885,399.954,44.631761,10.940428,145.2,12.16,300,0,0,1,0
26,1635155148430941,400.056,44.631726,10.940461,146.0,11.87,300,0,0,1,0
27,1635155148830947,400.006,44.631691,10.940494,145.7,11.63,300,0,0,1,0
28,1635155149231007,400.06,44.631658,10.940527,145.8,11.3,300,0,0,1,0
29,1635155149630912,399.905,44.631625,10.940559,145.9,11.22,300,0,0,1,0
30,1635155150030880,399.968,44.631592,10.940589,145.7,11.02,300,0,0,1,0
31,1635155150430916,400.036,44.631561,10.940619,146.5,10.5,300,1,0,1,0
32,1635155150830921,400.005,44.63153,10.940648,146.0,10.42,300,0,0,1,0
33,1635155151230923,400.002,44.6315,10.940677,146.3,10.05,300,0,0,1,0
34,1635155151730912,499.989,44.631464,10.940712,145.9,9.82,300,0,0,1,0
35,1635155152230915,500.003,44.631428,10.940744,146.4,9.34,300,0,0,1,0
36,1635155152730917,500.002,44.631395,10.940775,147.5,8.78,300,1,0,1,0
37,1635155153230920,500.003,44.631362,10.940804,147.9,8.68,300,0,0,1,0
38,1635155153730922,500.002,44.631329,10.940834,146.3,8.55,300,0,0,1,0
39,1635155154230935,500.013,44.631296,10.940865,146.1,8.73,300,0,0,1,0
40,1635155154730926,499.991,44.631263,10.940897,146.4,8.94,300,0,0,1,0
41,1635155155230982,500.056,44.63123,10.940928,145.1,8.95,300,0,0,1,0
42,1635155155730924,499.942,44.631197,10.940959,146.0,8.78,300,0,0,1,0
43,1635155156230923,499.999,44.631164,10.940989,146.4,8.58,300,0,0,1,0
44,1635155156730926,500.003,44.631133,10.941018,146.5,8.25,300,0,0,1,0
45,1635155157230921,499.995,44.631103,10.941048,143.0,8.12,300,0,0,1,0
46,1635155157831107,600.186,44.631068,10.941082,145.1,7.91,300,0,0,1,0
47,1635155158430913,599.806,44.631033,10.941116,145.9,7.69,300,0,0,1,0
48,1635155159030908,599.995,44.630999,10.941148,145.1,7.69,300,0,0,1,0
49,1635155159630926,600.018,44.630964,10.941183,144.0,7.82,300,0,0,1,0
50,1635155160230924,599.998,44.63093,10.941216,144.8,7.69,300,0,0,1,0
51,1635155160830938,600.014,44.630895,10.941249,144.6,8.02,300,0,0,1,0
52,1635155161430983,600.045,44.630859,10.941281,147.0,8.17,300,0,0,1,0
53,1635155161931216,500.233,44.630828,10.94131,146.1,8.11,300,0,0,1,0
54,1635155162430934,499.718,44.630798,10.94134,144.2,7.94,300,0,0,1,0
55,1635155163030886,599.952,44.630764,10.941374,144.8,7.63,300,0,0,1,0
56,1635155163530926,500.04,44.630738,10.941401,143.5,7.05,300,1,0,0,0
57,1635155164030892,499.966,44.630714,10.941425,143.3,6.52,300,1,0,0,0
58,1635155164330917,300.025,44.630702,10.941439,142.5,5.85,300,1,0,0,0
59,1635155164530884,199.967,44.630693,10.941446,147.2,5.61,300,0,1,0,0
60,1635155164930915,400.031,44.630678,10.941461,145.5,4.99,300,1,0,0,0
61,1635155165630933,700.018,44.630655,10.941486,140.2,4.62,300,0,1,0,0
62,1635155166030876,399.943,44.630643,10.941501,134.3,4.3,300,0,1,0,0
63,1635155166430940,400.064,44.630633,10.941519,128.9,4.3,300,0,1,0,0
64,1635155166730912,299.972,44.630626,10.941533,122.3,4.3,300,0,1,0,0
65,1635155166930933,200.021,44.630623,10.941543,117.9,4.31,300,0,1,0,0
66,1635155167230911,299.978,44.630618,10.94156,111.3,4.61,300,0,1,0,0
67,1635155167430912,200.001,44.630616,10.941572,105.9,4.88,300,0,1,0,0
68,1635155167730928,300.016,44.630614,10.941591,98.4,5.12,300,0,1,0,0
69,1635155168030883,299.955,44.630613,10.941612,92.9,5.39,300,0,1,0,0
70,1635155168230913,200.03,44.630614,10.941626,88.2,5.41,300,0,1,0,0
71,1635155168430929,200.016,44.630615,10.941639,83.5,5.53,300,0,1,0,0
72,1635155168630884,199.955,44.630617,10.941654,77.7,5.81,300,0,1,0,0
73,1635155168830916,200.032,44.630621,10.941668,73.3,5.92,300,0,1,0,0
74,1635155169030880,199.964,44.630625,10.941682,69.2,6.08,300,0,1,0,0
75,1635155169230986,200.106,44.630631,10.941696,62.9,6.36,300,0,1,0,0
76,1635155169630929,399.943,44.630643,10.941725,57.5,6.86,300,1,1,0,0
77,1635155169731663,100.734,44.630648,10.941731,53.1,6.83,300,0,1,0,0
78,1635155170130927,399.264,44.630664,10.941757,47.7,6.95,300,0,1,0,0
79,1635155170430916,299.989,44.630678,10.941776,43.4,7.57,300,1,1,0,0
80,1635155170930907,499.991,44.630704,10.941807,39.0,7.73,300,0,1,0,0
81,1635155171230928,300.021,44.630721,10.941826,37.7,8.23,300,1,0,0,0
82,1635155171730913,499.985,44.630751,10.941861,38.3,8.72,300,0,0,1,0
83,1635155172230941,500.028,44.630783,10.941897,39.1,9.23,300,1,0,1,0
84,1635155172730915,499.974,44.630816,10.941932,36.3,9.41,300,0,0,1,0
85,1635155173230928,500.013,44.63085,10.941967,37.1,9.34,300,0,0,1,0
86,1635155173730915,499.987,44.630883,10.942004,37.7,9.7,300,0,0,1,0
87,1635155174230913,499.998,44.630919,10.942043,37.5,10.09,300,0,0,1,0
88,1635155174630925,400.012,44.630949,10.942074,37.7,10.32,300,0,0,1,0
89,1635155175030887,399.962,44.630979,10.942108,38.1,10.62,300,0,0,1,0
90,1635155175330914,300.027,44.631004,10.942136,39.9,11.37,300,1,0,0,0
91,1635155175730924,400.01,44.631036,10.942171,38.5,11.47,300,0,0,1,0
92,1635155176130945,400.021,44.631069,10.942207,38.7,11.77,300,0,0,1,0
93,1635155176530914,399.969,44.631103,10.942242,37.2,11.92,300,0,0,1,0
94,1635155176930980,400.066,44.631137,10.942278,37.0,11.88,300,0,0,1,0
95,1635155177330921,399.941,44.631171,10.942313,36.2,11.85,300,0,0,1,0
96,1635155177730911,399.99,44.631206,10.942348,35.8,11.95,300,0,0,1,0
97,1635155178130911,400.0,44.631241,10.942384,36.3,11.9,300,0,0,1,0
98,1635155178530926,400.015,44.631276,10.94242,36.5,12.11,300,0,0,1,0
99,1635155178730881,199.955,2.0,10.942439,37.2,12.07,300,0,0,1,0
100,1635155178830921,100.04,44.631301,10.942448,37.4,12.04,300,0,0,1,0
101,1635155179230924,400.003,44.631336,10.942484,36.7,12.12,300,0,0,1,0
102,1635155179630923,399.999,44.631372,10.942523,37.8,12.39,300,0,0,1,0
103,1635155180030886,399.963,44.631406,10.94256,37.6,12.18,300,0,0,1,0
104,1635155180430911,400.025,44.631443,10.942593,34.7,12.19,300,0,0,1,0
105,1635155180830989,400.078,44.631478,10.94263,35.6,12.3,300,0,0,1,0
106,1635155181230939,399.95,44.631513,10.942669,38.2,12.35,300,0,0,1,0
107,1635155181630917,399.978,44.631549,10.942707,37.0,12.49,300,0,0,1,0
108,1635155182030888,399.971,44.631584,10.942745,38.5,12.34,300,0,0,1,0
109,1635155182430927,400.039,44.631618,10.942782,38.5,12.35,300,0,0,1,0
110,1635155182530931,100.004,44.631626,10.942788,36.4,11.71,300,1,0,0,0
111,1635155182830911,299.98,44.631652,10.942819,39.2,12.24,300,1,0,0,0
112,1635155183230918,400.007,44.631686,10.942854,37.4,11.91,300,0,0,1,0
113,1635155183630915,399.997,44.631719,10.942891,38.3,11.67,300,0,0,1,0
114,1635155184030888,399.973,44.631754,10.942927,37.4,12.01,300,0,0,1,0
115,1635155184430921,400.033,44.631789,10.942963,36.1,12.19,300,0,0,1,0
116,1635155184830912,399.991,44.631824,10.942999,36.0,12.16,300,0,0,1,0
117,1635155185230924,400.012,44.631861,10.943037,36.5,12.55,300,0,0,1,0
118,1635155185630912,399.988,44.631897,10.943075,36.5,12.6,300,0,0,1,0
119,1635155186030884,399.972,44.631934,10.943113,37.1,12.58,300,0,0,1,0
120,1635155186430919,400.035,44.631972,10.943151,36.8,12.9,300,0,0,1,0
121,1635155186830924,400.005,44.632009,10.943191,37.0,13.24,300,0,0,1,0
122,1635155187130916,299.992,44.632039,10.943221,36.5,13.39,300,0,0,1,0
123,1635155187430937,300.021,44.632069,10.943252,36.8,13.6,300,0,0,1,0
124,1635155187730911,299.974,44.632099,10.943282,36.9,13.89,300,0,0,1,0
125,1635155188030917,300.006,44.63213,10.943314,36.5,14.08,300,0,0,1,0
126,1635155188330893,299.976,44.632161,10.943346,36.3,14.31,300,0,0,1,0
127,1635155188631114,300.221,44.632194,10.943379,36.5,14.91,300,1,0,1,0
128,1635155188930908,299.794,44.632227,10.943415,37.2,15.5,300,1,0,1,0
129,1635155189230933,300.025,44.632262,10.94345,36.6,15.59,300,0,0,1,0
130,1635155189530912,299.979,44.632297,10.943486,36.5,15.97,300,0,0,1,0
131,1635155189830918,300.006,44.632331,10.943523,37.5,15.87,300,0,0,1,0
132,1635155190130927,300.009,44.632365,10.943558,36.7,15.82,300,0,0,1,0
133,1635155190430926,299.999,44.632398,10.943595,37.8,15.91,300,0,0,1,0
134,1635155190730939,300.013,44.632433,10.943629,36.3,15.85,300,0,0,1,0
135,1635155191030890,299.951,44.632467,10.943663,35.2,15.79,300,0,0,1,0
136,1635155191330917,300.027,44.632501,10.943699,36.2,15.68,300,0,0,1,0
137,1635155191630912,299.995,44.632535,10.943736,37.6,15.82,300,0,0,1,0
138,1635155191931097,300.185,44.63257,10.943772,36.9,15.84,300,0,0,1,0
139,1635155192230929,299.832,44.632604,10.943808,37.6,15.83,300,0,0,1,0
140,1635155192530919,299.99,44.632638,10.943843,37.1,15.61,300,0,0,1,0
141,1635155192830928,300.009,44.632671,10.943878,37.5,15.47,300,0,0,1,0
142,1635155193130914,299.986,44.632706,10.943912,35.4,15.47,300,0,0,1,0
143,1635155193430925,300.011,44.632738,10.943949,37.6,15.34,300,0,0,1,0
144,1635155193730912,299.987,44.632771,10.943984,37.5,15.18,300,0,0,1,0
145,1635155194030881,299.969,44.632803,10.944017,36.5,15.09,300,0,0,1,0
146,1635155194330881,300.0,44.632835,10.944051,36.6,14.86,300,0,0,1,0
147,1635155194630923,300.042,44.632866,10.944084,36.9,14.62,300,0,0,1,0
148,1635155194930945,300.022,44.632897,10.944119,38.4,14.56,300,0,0,1,0
149,1635155195230984,300.039,44.632928,10.944153,38.4,14.49,300,0,0,1,0
150,1635155195530912,299.928,44.632959,10.944183,36.7,14.04,300,0,0,1,0
151,1635155195830995,300.083,44.632989,10.944218,38.2,14.2,300,0,0,1,0
152,1635155196130879,299.884,44.633021,10.944249,36.7,14.15,300,0,0,1,0
153,1635155196430927,300.048,44.63305,10.94428,36.3,13.87,300,0,0,1,0
154,1635155196730928,300.001,44.633081,10.944313,36.2,13.95,300,0,0,1,0
155,1635155197030883,299.955,44.63311,10.944345,37.2,13.83,300,0,0,1,0
156,1635155197330927,300.044,44.633139,10.944375,36.6,13.5,300,0,0,1,0
157,1635155197630913,299.986,44.633169,10.944405,36.2,13.44,300,0,0,1,0
158,1635155198031015,400.102,44.633208,10.944444,35.8,13.26,300,0,0,1,0
159,1635155198230913,199.898,44.633228,10.944466,36.1,13.77,300,1,0,0,0
160,1635155198530925,300.012,44.633258,10.944499,36.6,13.91,300,0,0,1,0
161,1635155198730911,199.986,44.63328,10.944521,36.2,14.42,300,1,0,0,0
162,1635155199030887,299.976,44.633311,10.944552,35.6,14.22,300,0,0,1,0
163,1635155199330915,300.028,44.633342,10.944584,36.1,14.28,300,0,0,1,0
164,1635155199630910,299.995,44.633373,10.944616,36.6,14.16,300,0,0,1,0
165,1635155199930930,300.02,44.633403,10.944647,36.1,13.97,300,0,0,1,0
166,1635155200130886,199.956,44.633422,10.944668,36.6,13.47,300,1,0,0,0
167,1635155200430912,300.026,44.633451,10.944699,37.6,13.25,300,0,0,1,0
168,1635155200831041,400.129,44.633488,10.944737,36.8,12.66,300,1,0,1,0
169,1635155201230925,399.884,44.633522,10.944773,37.4,11.9,300,1,0,1,0
170,1635155201530915,299.99,44.633546,10.944799,37.6,11.33,300,1,0,0,0
171,1635155201830925,300.01,44.633569,10.944824,38.1,10.68,300,1,0,0,0
172,1635155202230925,400.0,44.633599,10.944853,35.5,9.88,300,1,0,1,0
173,1635155202530916,299.991,44.633619,10.944874,36.2,9.19,300,1,0,0,0
174,1635155203031052,500.136,44.633651,10.944907,37.0,8.54,300,1,0,1,0
175,1635155203330929,299.877,44.633668,10.944928,38.7,7.91,300,1,0,0,0
176,1635155203830909,499.98,44.633695,10.944957,37.1,7.28,300,1,0,0,0
177,1635155204331049,500.14,44.63372,10.944983,37.0,6.75,300,1,0,0,0
178,1635155204430932,99.883,44.633724,10.944988,37.7,6.22,300,1,0,0,0
179,1635155204930912,499.98,44.633744,10.945011,38.5,5.65,300,1,0,0,0
180,1635155205231097,300.185,44.633755,10.945023,38.6,5.14,300,1,0,0,0
181,1635155205930921,699.824,44.633779,10.945049,37.3,4.4,300,1,0,0,0
182,1635155206330993,400.072,44.63379,10.945061,39.6,3.86,300,1,0,0,0
183,1635155206530926,199.933,44.633796,10.945066,35.2,3.71,300,0,1,0,0
184,1635155206830925,299.999,44.633802,10.945074,37.9,3.14,300,1,0,0,0
185,1635155207230927,400.002,44.63381,10.945081,34.7,2.54,300,1,0,0,0
186,1635155207430886,199.959,44.633814,10.945086,40.4,2.5,300,0,1,0,0
187,1635155207630931,200.045,44.633818,10.945089,35.2,2.32,300,0,1,0,0
188,1635155207730913,99.982,44.633819,10.945091,39.3,2.28,300,0,1,0,0
189,1635155207930882,199.969,44.633823,10.945094,33.5,2.03,300,0,1,0,0
190,1635155208330926,400.044,44.633828,10.945099,43.1,1.5,300,1,1,0,0
191,1635155208530883,199.957,44.633829,10.945101,36.9,1.4,300,0,1,0,0
192,1635155208930926,400.043,44.633832,10.945103,36.9,0.7,300,1,0,0,0
193,1635155209131044,200.118,44.633833,10.945103,42.0,0.81,300,0,1,0,0
194,1635155209430930,299.886,44.633834,10.945103,42.0,0.29,300,1,0,0,0
195,1635155210430925,999.995,44.633833,10.945104,42.0,0.0,300,0,0,0,1
196,1635155211430916,999.991,44.633833,10.945104,42.0,0.0,300,0,0,0,1
197,1635155212430941,1000.025,44.633833,10.945104,42.0,0.0,300,0,0,0,1
198,1635155213430925,999.984,44.633833,10.945104,42.0,0.0,300,0,0,0,1
199,1635155214430938,1000.013,44.633833,10.945104,42.0,0.0,300,0,0,0,1
200,1635155214930924,499.986,1.0,10.945104,42.0,0.0,300,0,0,1,0
201,1635155215030880,99.956,44.633833,10.945104,42.0,0.0,300,0,0,1,0
202,1635155216030884,1000.004,44.633833,10.945103,42.0,0.0,300,0,0,0,1
203,1635155217030881,999.997,44.633833,10.945105,42.0,0.0,300,0,0,0,1
204,1635155218031127,1000.246,44.633823,10.945102,42.0,0.0,300,0,0,0,1
205,1635155219031199,1000.072,44.633821,10.945102,42.0,0.0,300,0,0,0,1
206,1635155220030925,999.726,44.633821,10.945102,42.0,0.0,300,0,0,0,1
207,1635155221030882,999.957,44.633821,10.945102,42.0,0.0,300,0,0,0,1
208,1635155222030881,999.999,44.633821,10.945102,42.0,0.0,300,0,0,0,1
209,1635155223031029,1000.148,44.633821,10.945102,42.0,0.0,300,0,0,0,1
210,1635155224030887,999.858,44.633827,10.945105,42.0,0.0,300,0,0,0,1
211,1635155225030885,999.998,44.63383,10.945113,42.0,0.0,300,0,0,0,1
212,1635155226030919,1000.034,44.633832,10.945112,42.0,0.0,300,0,0,0,1
213,1635155226130945,100.026,44.63384,10.945117,43.5,1.11,300,1,0,0,0
214,1635155226331062,200.117,44.633842,10.94512,38.9,1.43,300,0,1,0,0
215,1635155226430915,99.853,44.633844,10.945121,34.5,1.7,300,0,1,0,0
216,1635155226530926,100.011,44.633845,10.945123,41.7,1.73,300,0,1,0,0
217,1635155226630912,99.986,44.633847,10.945124,36.4,1.9,300,0,1,0,0
218,1635155226730926,100.014,44.633848,10.945126,41.7,1.94,300,0,1,0,0
219,1635155226832352,101.426,44.63385,10.945128,34.0,2.32,300,0,1,0,0
220,1635155227030884,198.532,44.633854,10.945132,39.0,2.54,300,0,1,0,0
221,1635155227530923,500.039,44.633865,10.945142,41.0,3.08,300,1,0,0,0
222,1635155227830931,300.008,44.633873,10.94515,34.6,3.58,300,1,1,0,0
223,1635155228230925,399.994,44.633888,10.945165,36.7,4.44,300,1,0,0,0
224,1635155228430931,200.006,44.633894,10.945173,41.9,4.64,300,0,1,0,0
225,1635155228630935,200.004,44.633901,10.94518,37.2,4.99,300,0,1,0,0
226,1635155229030886,399.951,44.633917,10.945198,38.8,5.71,300,1,0,0,0
227,1635155229830915,800.029,44.633948,10.945232,36.9,5.59,300,0,0,1,0
228,1635155230230914,399.999,44.633968,10.945248,34.3,6.13,300,1,0,0,0
229,1635155230930913,699.999,44.634001,10.945282,35.8,6.87,300,1,0,1,0
230,1635155231530912,599.999,44.634034,10.945312,36.5,7.11,300,0,0,1,0
231,1635155232030882,499.97,44.634061,10.94534,35.9,7.63,300,1,0,0,0
232,1635155232530919,500.037,44.634091,10.945371,36.9,8.02,300,0,0,1,0
233,1635155233030884,499.965,44.634121,10.945402,36.1,8.6,300,1,0,1,0
234,1635155233531087,500.203,44.634153,10.945434,34.8,8.98,300,0,0,1,0
