seq_num,timestamp,Tgen,latitude,longitude,heading,velocity,size,flag_speed,flag_heading,flag_distance,flag_timeout
0,1636467595498792,700.132,44.627989,10.948127,216.6,6.68,300,0,0,1,0
1,1636467596198667,699.875,44.627957,10.948094,215.9,6.26,300,0,0,1,0
2,1636467596798653,599.986,44.627932,10.948068,216.3,5.74,300,1,0,0,0
3,1636467597298685,500.032,44.627913,10.948048,215.5,5.08,300,1,0,0,0
4,1636467597798649,499.964,44.627896,10.948032,215.8,4.36,300,1,0,0,0
5,1636467598198663,400.014,44.627885,10.94802,216.1,3.83,300,1,0,0,0
6,1636467598498663,300.0,44.627878,10.948013,216.4,3.17,300,1,0,0,0
7,1636467598898662,399.999,44.627871,10.948004,220.9,2.42,300,1,1,0,0
8,1636467599298664,400.002,44.627866,10.947997,225.8,1.68,300,1,1,0,0
9,1636467599698657,399.993,44.627863,10.947993,226.4,0.96,300,1,0,0,0
10,1636467599998730,300.073,44.627862,10.947991,217.0,0.76,300,0,1,0,0
11,1636467600198657,199.927,44.62786,10.94799,223.9,0.81,300,0,1,0,0
12,1636467601198653,999.996,44.627855,10.947984,216.3,1.14,300,0,1,0,0
13,1636467601498678,300.025,44.627851,10.947981,223.6,1.51,300,0,1,0,0
14,1636467601598662,99.984,44.627849,10.947979,216.1,1.81,300,0,1,0,0
15,1636467601898652,299.99,44.627843,10.947974,211.0,2.31,300,1,1,0,0
16,1636467601998662,100.01,44.627841,10.947973,205.8,2.51,300,0,1,0,0
17,1636467602298649,299.987,44.627832,10.947968,202.4,3.31,300,1,0,0,0
18,1636467602598652,300.003,44.627822,10.947963,198.2,3.87,300,1,1,0,0
19,1636467602798662,200.01,44.627815,10.947961,193.6,4.15,300,0,1,0,0
20,1636467603198662,400.0,44.627799,10.947958,188.9,4.36,300,0,1,0,0
21,1636467603398653,199.991,44.627791,10.947958,184.8,4.65,300,0,1,0,0
22,1636467603698832,300.179,44.627778,10.947958,180.5,4.76,300,0,1,0,0
23,1636467603998654,299.822,44.627765,10.947959,176.0,4.9,300,0,1,0,0
24,1636467604298653,299.999,44.627753,10.947961,171.9,4.83,300,0,1,0,0
25,1636467605198654,900.001,44.627714,10.947967,173.0,4.96,300,0,0,1,0
26,1636467605498652,299.998,44.6277,10.947968,177.2,5.24,300,0,1,0,0
27,1636467605898662,400.01,44.62768,10.947967,181.3,5.41,300,0,1,0,0
28,1636467606198704,300.042,44.627666,10.947963,186.8,5.48,300,0,1,0,0
29,1636467606598653,399.949,44.627645,10.947957,192.4,5.93,300,0,1,0,0
30,1636467606798657,200.004,44.627635,10.947952,197.5,5.87,300,0,1,0,0
31,1636467607198672,400.015,44.627615,10.947941,202.6,6.0,300,0,1,0,0
32,1636467607498664,299.992,44.6276,10.94793,208.3,6.17,300,0,1,0,0
33,1636467607798798,300.134,44.627586,10.947917,214.3,6.3,300,0,1,0,0
34,1636467608298667,499.869,44.627563,10.947891,220.6,6.71,300,0,1,0,0
35,1636467608598741,300.074,44.62755,10.947872,226.0,6.89,300,0,1,0,0
36,1636467608998667,399.926,44.627533,10.947846,231.2,7.04,300,0,1,0,0
37,1636467609498657,499.99,44.627516,10.94781,237.1,7.16,300,0,1,0,0
38,1636467610098631,599.974,44.627494,10.947765,236.7,7.31,300,0,0,1,0
39,1636467610698659,600.028,44.627471,10.947722,236.6,7.18,300,0,0,1,0
40,1636467611298677,600.018,44.627451,10.947679,237.5,6.75,300,0,0,1,0
41,1636467611898676,599.999,44.627433,10.947639,238.0,6.21,300,1,0,0,0
42,1636467612198663,299.987,44.627425,10.947618,242.1,6.2,300,0,1,0,0
43,1636467612798648,599.985,44.627412,10.947578,246.8,5.85,300,0,1,0,0
44,1636467613298664,500.016,44.627404,10.947543,252.7,5.75,300,0,1,0,0
45,1636467613598650,299.986,44.6274,10.947522,257.0,5.64,300,0,1,0,0
46,1636467613798652,200.002,44.627399,10.947509,261.9,5.48,300,0,1,0,0
47,1636467614098666,300.014,44.627398,10.947489,267.0,5.22,300,0,1,0,0
48,1636467614398685,300.019,44.627398,10.94747,272.4,4.99,300,0,1,0,0
49,1636467614498660,99.975,44.6274,10.947465,277.3,4.84,300,0,1,0,0
50,1636467614898664,400.004,44.627402,10.947443,281.3,4.32,300,1,1,0,0
51,1636467615098771,200.107,44.627404,10.947434,285.3,3.94,300,0,1,0,0
52,1636467615398671,299.9,44.627406,10.947422,287.6,3.41,300,1,0,0,0
53,1636467615898654,499.983,44.627408,10.947405,288.2,2.67,300,1,0,0,0
54,1636467616698667,800.013,44.627414,10.947379,284.1,2.52,300,0,1,0,0
55,1636467616998664,299.997,44.627417,10.947366,288.3,3.26,300,1,1,0,0
56,1636467617198652,199.988,44.627419,10.947355,290.4,3.79,300,1,0,0,0
57,1636467617498661,300.009,44.627424,10.947339,291.3,4.34,300,1,0,0,0
58,1636467617898663,400.002,44.627431,10.947318,295.8,4.76,300,0,1,0,0
59,1636467618298668,400.005,44.627441,10.947294,298.9,5.54,300,1,0,0,0
60,1636467618598655,299.987,44.627449,10.947278,303.2,5.34,300,0,1,0,0
61,1636467619298655,700.0,44.627468,10.94724,307.9,5.49,300,0,1,0,0
62,1636467619798651,499.996,44.627485,10.947211,310.3,6.22,300,1,0,0,0
63,1636467620398687,600.036,44.627509,10.947174,312.8,6.74,300,1,0,1,0
64,1636467620998680,599.993,44.627536,10.947136,315.2,7.1,300,0,0,1,0
65,1636467621598668,599.988,44.627563,10.947099,315.9,7.1,300,0,0,1,0
66,1636467622198651,599.983,44.62759,10.947064,318.8,6.77,300,0,0,1,0
67,1636467622798662,600.011,44.627617,10.947029,318.2,6.71,300,0,0,1,0
68,1636467623398662,600.0,44.627644,10.946993,317.5,6.75,300,0,0,1,0
69,1636467623998693,600.031,44.627672,10.946957,317.5,6.9,300,0,0,1,0
70,1636467624598663,599.97,44.627698,10.94692,317.6,6.81,300,0,0,1,0
71,1636467625298691,700.028,44.627728,10.946881,316.9,6.37,300,0,0,1,0
72,1636467625998652,699.961,44.627756,10.946844,316.6,6.0,300,0,0,1,0
73,1636467626698653,700.001,44.627781,10.946808,314.5,5.56,300,0,0,1,0
74,1636467627498650,799.997,44.627808,10.946768,312.3,5.18,300,0,0,1,0
75,1636467628298651,800.001,44.627833,10.946731,312.2,4.91,300,0,0,1,0
76,1636467629198651,900.0,44.627859,10.946693,315.0,4.49,300,0,0,1,0
77,1636467629498653,300.002,44.627866,10.946681,310.5,4.32,300,0,1,0,0
78,1636467629898648,399.995,44.627876,10.946666,314.5,4.09,300,0,1,0,0
79,1636467630198762,300.114,44.627883,10.946654,310.2,4.07,300,0,1,0,0
80,1636467630598663,399.901,44.627894,10.94664,315.6,4.0,300,0,1,0,0
81,1636467631598681,1000.018,44.627918,10.946602,311.2,3.88,300,0,1,1,0
82,1636467632298672,699.991,44.627932,10.946579,311.9,3.38,300,1,0,0,0
83,1636467633298687,1000.015,44.627951,10.94655,314.3,2.89,300,0,0,0,1
84,1636467634298682,999.995,44.627966,10.946526,310.8,2.4,300,0,0,0,1
