Tx-Rx distance,PDR,confidence interval
100,0.9993206521739131,0.0011531316517781743
200,0.9460380194459851,0.03800595054937004
300,0.8311513909497984,0.11252187162415571
400,0.5566162664718801,0.27544562440009634
500,0.3827432623120991,0.23812327629938884
600,0.035083235981308414,0.037981540525949535
700,0.005698005698005698,0.009118708254235575
800,0.07548579970104634,0.120802438834419
900,0.04436450839328537,0.07099800005860757
1000,0.0,0.0
1100,0.0,0.0
1200,0.0,0.0
1300,0.0,0.0
1400,0.0,0.0
1500,0.0,0.0
1600,0.0,0.0
1700,0.0,0.0
1800,0.0,0.0
1900,0.0,0.0
2000,0.0,0.0
2100,0.0,0.0
