TgenCAM,Velocity,Heading,Distance,Timeout,Mixed
100,0.008420343550016841,0.04726619512742787,0.0016840687100033683,0.0,0.0016279330863365892
200,0.01902997642303806,0.04530144829909061,0.0002806781183338947,0.0,0.0025261030650050526
300,0.035870663523071736,0.036432019759739524,0.17974626698102614,0.0,0.008757157292017512
400,0.02862916807005726,0.01964746828337263,0.20231278769507127,0.0,0.016952958347367236
500,0.017794992702368926,0.009374649152352083,0.07786011002582238,0.0,0.01212529471202425
600,0.009430784776018861,0.0033120017963399577,0.03267093297406534,0.0,0.007466037947681599
700,0.005052206130010104,0.0021892893230043785,0.012293701583024586,0.0,0.003648815538340631
800,0.0031435949253396205,0.001684068710003368,0.008925564163017851,0.0,0.0011788480970023577
900,0.0021331536993375996,0.0011788480970023577,0.004659256764342651,0.0,0.0011788480970023577
1000,0.0010665768496688,0.0003368137420006737,0.0015717974626698104,0.12484562703491636,0.0003929493656674526
