latitude,longitude
44.627416,10.947445
44.627419,10.947413
44.627422,10.947401
44.627424,10.947386
44.627426,10.947379
44.627426,10.947376
44.627427,10.947372
44.627427,10.947372
44.627427,10.947371
44.627426,10.947371
44.627426,10.947372
44.627426,10.947372
44.627426,10.947372
44.627426,10.947372
44.627426,10.947372
44.627431,10.947351
44.627433,10.947346
44.627434,10.94734
44.62744,10.947326
44.627446,10.947309
44.627455,10.947286
44.627464,10.947269
44.627483,10.947233
44.627508,10.947195
44.627535,10.947157
44.627561,10.947122
44.627585,10.94709
44.627603,10.947066
44.627619,10.947044
44.627626,10.947033
44.627634,10.947023
44.627641,10.947011
44.627646,10.947004
44.627648,10.947003
44.62765,10.946999
44.627651,10.946996
44.627652,10.946996
44.627652,10.946995
44.627657,10.946988
44.627663,10.946983
44.627664,10.946982
44.627664,10.946983
44.627664,10.946983
44.627664,10.946983
44.627664,10.946983
44.627664,10.946984
44.627665,10.946985
44.627665,10.946983
44.627665,10.946981
44.627671,10.946974
44.627674,10.94697
44.627681,10.946961
44.627688,10.946951
44.627695,10.946941
44.627707,10.946925
44.627732,10.946886
44.627754,10.946853
44.627766,10.946837
44.627783,10.946815
44.627808,10.946779
44.627834,10.946741
44.627862,10.946701
44.62789,10.946658
44.627919,10.946614
44.627942,10.946575
44.627969,10.946536
44.627994,10.946494
44.628014,10.94646
44.628019,10.946452
44.628045,10.94641
44.628071,10.946366
44.628096,10.94632
44.628123,10.946274
44.628148,10.946229
44.628173,10.946183
44.628199,10.946137
44.628224,10.946089
44.628249,10.946042
44.628273,10.945997
44.628295,10.94595
44.628318,10.945904
44.628341,10.945858
44.628365,10.94581
44.628387,10.945762
44.62841,10.945715
44.628433,10.945668
44.628456,10.94562
44.628479,10.945572
44.628502,10.945525
44.628524,10.945476
44.628548,10.945428
44.628572,10.945378
44.628595,10.945328
44.628619,10.945279
44.628643,10.945228
44.628667,10.945179
44.628692,10.945128
44.628717,10.945077
44.628737,10.945035
44.628758,10.944992
44.628783,10.94494
44.628802,10.944896
44.628822,10.944853
44.628841,10.944808
44.628861,10.944763
44.628881,10.944719
44.6289,10.944674
44.628919,10.94463
44.628938,10.944585
44.628956,10.944541
44.628975,10.944496
44.628992,10.94445
44.629011,10.944405
44.629029,10.94436
44.629047,10.944315
44.629064,10.94427
44.629082,10.944225
44.629103,10.94417
44.629124,10.944114
44.629141,10.944068
44.629157,10.944023
44.629178,10.943967
44.629195,10.943922
44.629213,10.943875
44.62923,10.943828
44.629247,10.943778
44.629265,10.943728
44.629284,10.943678
44.629302,10.943629
44.62932,10.943579
44.629339,10.943529
44.629358,10.94348
44.629376,10.94343
44.629394,10.943383
44.629412,10.943335
44.62943,10.943289
44.629449,10.943241
44.629467,10.943194
44.629484,10.943147
44.629502,10.943101
44.62952,10.943055
44.629537,10.94301
44.629559,10.942956
44.629581,10.942902
44.629602,10.942848
44.629625,10.942793
44.629648,10.942739
44.629668,10.942696
44.629692,10.942643
44.629717,10.942592
44.629742,10.942542
44.629768,10.942492
44.629795,10.942443
44.629824,10.942395
44.629852,10.942352
44.629881,10.94231
44.629912,10.942269
44.629942,10.942229
44.629973,10.942189
44.630004,10.942152
44.630034,10.942116
