seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
0,1636728574393703,0.000000,0.000000,132463.000000,-0.000000,0.000000,287,0,0,1,0
1,1636728574443731,50.028000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
2,1636728574493779,50.048000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
3,1636728574543769,49.990000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
4,1636728574593772,50.003000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
5,1636728574643978,50.206000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
6,1636728574693764,49.786000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
7,1636728574743781,50.017000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
8,1636728574793776,49.995000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
9,1636728574843775,49.999000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
10,1636728574893779,50.004000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
11,1636728574943766,49.987000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
12,1636728574994719,50.953000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
13,1636728575043739,49.020000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
14,1636728575093764,50.025000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
15,1636728575143916,50.152000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
16,1636728575193776,49.860000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
17,1636728575243769,49.993000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
18,1636728575293775,50.006000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
19,1636728575343781,50.006000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
20,1636728575393790,50.009000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
21,1636728575443767,49.977000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
22,1636728575493773,50.006000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
23,1636728575543779,50.006000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
24,1636728575593765,49.986000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
25,1636728575643865,50.100000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
26,1636728575693762,49.897000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
27,1636728575743781,50.019000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
28,1636728575794041,50.260000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
29,1636728575843778,49.737000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
30,1636728575893768,49.990000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
31,1636728575943779,50.011000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
32,1636728575993773,49.994000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
33,1636728576043737,49.964000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
34,1636728576093774,50.037000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
35,1636728576143731,49.957000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
36,1636728576193767,50.036000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
37,1636728576243765,49.998000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
38,1636728576293945,50.180000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
39,1636728576343793,49.848000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
40,1636728576393774,49.981000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
41,1636728576443776,50.002000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
42,1636728576493765,49.989000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
43,1636728576543778,50.013000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
44,1636728576593767,49.989000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
45,1636728576643786,50.019000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
46,1636728576693762,49.976000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
47,1636728576743791,50.029000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
48,1636728576793909,50.118000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
49,1636728576843764,49.855000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
50,1636728576893767,50.003000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
51,1636728576943780,50.013000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
52,1636728576993775,49.995000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
53,1636728577043743,49.968000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
54,1636728577093766,50.023000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
55,1636728577143738,49.972000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
56,1636728577193765,50.027000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
57,1636728577243768,50.003000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
58,1636728577293872,50.104000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
59,1636728577343776,49.904000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
60,1636728577393770,49.994000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
61,1636728577443774,50.004000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
62,1636728577493771,49.997000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
63,1636728577543768,49.997000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
64,1636728577593764,49.996000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
65,1636728577643790,50.026000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
66,1636728577693766,49.976000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
67,1636728577743779,50.013000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
68,1636728577793784,50.005000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
69,1636728577843783,49.999000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
70,1636728577893767,49.984000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
71,1636728577943768,50.001000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
72,1636728577993774,50.006000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
73,1636728578043747,49.973000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
74,1636728578093774,50.027000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
75,1636728578143738,49.964000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
76,1636728578193774,50.036000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
77,1636728578243767,49.993000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
78,1636728578293766,49.999000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
79,1636728578343774,50.008000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
80,1636728578393763,49.989000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
81,1636728578443776,50.013000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
82,1636728578493776,50.000000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
83,1636728578543781,50.005000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
84,1636728578593764,49.983000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
85,1636728578645112,51.348000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
86,1636728578693762,48.650000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
87,1636728578743768,50.006000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
88,1636728578794169,50.401000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
89,1636728578843775,49.606000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
90,1636728578893782,50.007000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
91,1636728578943785,50.003000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
92,1636728578993766,49.981000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
93,1636728579043737,49.971000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
94,1636728579093767,50.030000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
95,1636728579143735,49.968000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
96,1636728579193772,50.037000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
97,1636728579243774,50.002000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
98,1636728579294141,50.367000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
99,1636728579344180,50.039000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
100,1636728579393763,49.583000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
101,1636728579443773,50.010000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
102,1636728579493769,49.996000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
103,1636728579543771,50.002000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
104,1636728579593766,49.995000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
105,1636728579643779,50.013000,44.628355,10.948475,-0.000000,0.000000,287,0,0,1,0
106,1636728579693761,49.982000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
107,1636728579743784,50.023000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
108,1636728579794078,50.294000,44.628355,10.948475,-0.000000,0.000000,187,0,0,1,0
