seq_num,timestamp,Tgen,latitude,longitude,heading,velocity,size,flag_speed,flag_heading,flag_distance,flag_timeout
0,1637678613181631,100.743,44.645989,10.928096,25.7,3.69,300,1,1,1,0
1,1637678614181711,1000.08,44.646036,10.92814,29.0,4.71,300,1,0,1,0
2,1637678614382952,201.241,44.646042,10.928144,28.1,4.14,300,1,0,0,0
3,1637678615181727,798.775,44.646072,10.928153,11.4,4.54,300,0,1,0,0
4,1637678615280957,99.23,44.646076,10.928151,7.4,4.34,300,0,1,0,0
5,1637678615780961,500.004,44.646093,10.928153,3.3,3.81,300,1,1,0,0
6,1637678616181883,400.922,44.646096,10.928173,24.0,3.89,300,0,1,0,0
7,1637678616382968,201.085,44.646099,10.928179,32.9,3.58,300,0,1,0,0
8,1637678616583031,200.063,44.646105,10.928181,24.4,3.5,300,0,1,0,0
9,1637678616780949,197.918,44.64611,10.928186,30.3,3.16,300,0,1,0,0
10,1637678616980979,200.03,44.646116,10.928189,23.4,3.5,300,0,1,0,0
11,1637678617183007,202.028,44.646116,10.928179,27.0,2.84,300,1,0,0,0
12,1637678617383060,200.053,44.64612,10.928181,21.5,2.48,300,0,1,0,0
13,1637678618181706,798.646,44.646135,10.928182,30.3,2.2,300,0,1,0,0
14,1637678618280952,99.246,44.646129,10.928191,72.3,2.29,300,0,1,0,0
15,1637678618681713,400.761,44.646132,10.928203,77.8,2.27,300,0,1,0,0
16,1637678618881700,199.987,44.646132,10.928208,82.9,2.2,300,0,1,0,0
17,1637678619081717,200.017,44.646132,10.928214,88.4,2.15,300,0,1,0,0
18,1637678619181697,99.98,44.646144,10.928218,49.3,2.93,300,1,1,0,0
19,1637678619381691,199.994,44.646149,10.928231,56.3,3.52,300,1,1,0,0
20,1637678619481678,99.987,44.646152,10.928231,48.3,3.28,300,0,1,0,0
21,1637678619682981,201.303,44.646156,10.928235,43.0,3.15,300,0,1,0,0
22,1637678619981003,298.022,44.646162,10.928244,48.8,3.24,300,0,1,0,0
23,1637678620182971,201.968,44.646154,10.928243,50.3,1.94,300,1,0,0,0
24,1637678620881714,698.743,44.646162,10.928255,45.8,1.75,300,0,1,0,0
25,1637678621181726,300.012,44.646192,10.928288,48.0,2.83,300,1,0,1,0
26,1637678622181693,999.967,44.646221,10.928318,38.7,2.85,300,0,1,0,0
27,1637678623181686,999.993,44.646257,10.928317,21.0,2.98,300,0,1,1,0
28,1637678623280942,99.256,44.646259,10.928323,31.3,3.02,300,0,1,0,0
29,1637678624180961,900.019,44.646264,10.928341,59.2,1.98,300,1,1,0,0
30,1637678624280950,99.989,44.646265,10.928341,53.6,1.78,300,0,1,0,0
31,1637678624580958,300.008,44.646269,10.92834,22.3,1.24,300,1,1,0,0
32,1637678625180939,599.981,44.646307,10.928352,18.5,3.08,300,1,0,1,0
33,1637678625280950,100.011,44.646305,10.928356,29.3,2.53,300,1,1,0,0
34,1637678625480939,199.989,44.64631,10.928362,32.6,3.13,300,1,0,0,0
35,1637678626180956,700.017,44.646331,10.928384,46.2,3.0,300,0,1,0,0
36,1637678627181064,1000.108,44.646365,10.928409,23.6,3.35,300,0,1,1,0
37,1637678627280950,99.886,44.646365,10.928409,21.0,2.71,300,1,0,0,0
38,1637678628281682,1000.732,44.646384,10.928408,26.3,1.94,300,1,1,0,0
