seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
0,1640786412665726,200,44.63112,10.946095,37.5,2.12,100,0,1,0,0
1,1640786412965955,300,44.631125,10.9461,42.2,1.99,100,0,1,0,0
2,1640786413165718,200,44.631131,10.946105,37.5,2.28,100,0,1,0,0
3,1640786413865713,700,44.63114,10.946114,38.1,1.7,100,1,0,0,0
4,1640786413965725,100,44.631141,10.946117,47.5,1.79,100,0,1,0,0
5,1640786414365724,400,44.631147,10.946128,48.5,2.3,100,1,0,0,0
6,1640786414965817,600,44.631155,10.946138,39.5,1.86,100,0,1,0,0
7,1640786415065684,100,44.631156,10.946141,52.2,2.17,100,0,1,0,0
8,1640786415265719,200,44.631158,10.946146,61.8,1.91,100,0,1,0,0
9,1640786415365718,100,44.63116,10.946148,57.5,1.99,100,0,1,0,0
10,1640786415665950,300,44.631163,10.946156,55.5,2.52,100,1,0,0,0
11,1640786416165726,500,44.631171,10.946166,48.3,2.54,100,0,1,0,0
12,1640786416865725,700,44.631182,10.946181,40.8,2.53,100,0,1,0,0
13,1640786417265731,400,44.631189,10.946189,32.7,2.43,100,0,1,0,0
14,1640786417565730,300,44.631194,10.946192,25.6,2.18,100,0,1,0,0
15,1640786417765720,200,44.631199,10.946193,15.3,2.44,100,0,1,0,0
16,1640786417865720,100,44.631202,10.946193,9.7,2.72,100,0,1,0,0
17,1640786417965685,100,44.631205,10.946193,3.7,2.73,100,0,1,0,0
18,1640786418065685,100,44.631207,10.946193,8.2,2.61,100,0,1,0,0
19,1640786418165686,100,44.631209,10.946196,2.0,2.39,100,0,1,0,0
20,1640786418365735,200,44.631214,10.946195,357.5,2.4,100,0,1,0,0
21,1640786418565728,200,44.631218,10.946194,352.1,2.5,100,0,1,0,0
22,1640786418665728,100,44.63122,10.946193,347.0,2.44,100,0,1,0,0
23,1640786418765726,100,44.631223,10.946191,340.3,2.9,100,0,1,0,0
24,1640786419065728,300,44.63123,10.946185,331.5,2.93,100,0,1,0,0
25,1640786419165811,100,44.631234,10.946188,337.4,3.03,100,0,1,0,0
26,1640786419365741,200,44.631239,10.946184,329.4,3.1,100,0,1,0,0
27,1640786419765730,400,44.631249,10.946175,325.1,3.42,100,0,1,0,0
28,1640786420065687,300,44.631256,10.946165,318.7,3.65,100,0,1,0,0
29,1640786421165811,1100,44.631287,10.946135,316.2,4.04,100,0,0,1,0
30,1640786421365726,200,44.631291,10.946127,311.3,4.14,100,0,1,0,0
31,1640786421765730,400,44.631299,10.946111,305.3,3.91,100,0,1,0,0
32,1640786422265720,500,44.63131,10.946091,299.2,4.01,100,0,1,0,0
33,1640786422665722,400,44.631316,10.946074,294.3,3.88,100,0,1,0,0
34,1640786423665717,1000,44.63133,10.946033,289.1,3.55,100,0,1,0,0
35,1640786424865765,1200,44.631341,10.945987,287.6,2.96,100,1,0,0,0
36,1640786424965732,100,44.631343,10.945982,288.4,3.49,100,1,0,0,0
37,1640786425465718,500,44.631347,10.945967,288.5,2.84,100,1,0,0,0
38,1640786426065699,600,44.631354,10.945945,294.2,3.24,100,0,1,0,0
39,1640786427165685,1100,44.631369,10.945904,293.8,3.83,100,1,0,0,0
40,1640786427665720,500,44.631378,10.945879,298.2,4.26,100,0,1,0,0
41,1640786428465729,800,44.631395,10.945846,304.0,4.52,100,0,1,0,0
42,1640786429365719,900,44.631417,10.945806,305.3,4.76,100,0,0,1,0
43,1640786429865719,500,44.631431,10.945777,304.6,5.59,100,1,0,0,0
44,1640786430065690,200,44.631437,10.945769,309.2,4.92,100,1,1,0,0
45,1640786430566052,500,44.631451,10.945742,306.1,5.44,100,1,0,0,0
46,1640786430665684,100,44.631457,10.945743,322.1,5.03,100,0,1,0,0
47,1640786430865717,200,44.631463,10.945733,315.7,5.09,100,0,1,0,0
48,1640786431065757,200,44.631468,10.945724,311.6,4.91,100,0,1,0,0
49,1640786431165720,100,44.631467,10.945708,303.4,5.31,100,0,1,0,0
50,1640786431465744,300,44.631477,10.945693,309.6,5.48,100,0,1,0,0
51,1640786431965729,500,44.63149,10.945664,301.4,5.33,100,0,1,0,0
52,1640786432765725,800,44.631511,10.945619,304.0,5.48,100,0,0,1,0
53,1640786433065685,300,44.63152,10.945604,309.2,5.21,100,0,1,0,0
