TgenCAM,Velocity,Heading,Distance,Timeout,Mixed
100,0.02226379794200187,0.24340505144995322,0.0018709073900841906,0.0,0.015341440598690364
200,0.02095416276894294,0.1423760523854069,0.00037418147801683815,0.0,0.01683816651075772
300,0.020954162768942936,0.08868101028999065,0.0001870907390084191,0.0,0.00991580916744621
400,0.016651075771749298,0.058559401309635176,0.0,0.0,0.009915809167446213
500,0.013283442469597756,0.047521047708138454,0.0003741814780168382,0.0,0.00617399438727783
600,0.010664172123479889,0.03423760523854069,0.0009354536950420954,0.0,0.005612722170252572
700,0.009354536950420954,0.021889616463985035,0.0037418147801683817,0.0,0.00411599625818522
800,0.0035547240411599626,0.011786716557530401,0.08493919550982226,0.0,0.017025257249766133
900,0.0005612722170252573,0.0026192703461178674,0.024134705332086063,0.0,0.006922357343311506
1000,0.0005612722170252573,0.0014967259120673528,0.0018709073900841909,0.0,0.002245088868101029
1100,0.0,0.0005612722170252572,0.0005612722170252572,0.0,0.0005612722170252572
1200,0.00018709073900841907,0.0,0.0005612722170252572,0.0,0.0
1300,0.0,0.00018709073900841907,0.0,0.0,0.00037418147801683815
1400,0.0,0.0,0.0,0.0,0.0
1500,0.0,0.0,0.0,0.0,0.00018709073900841907
1600,0.0,0.0,0.0,0.0,0.00018709073900841907
1700,0.0,0.00018709073900841907,0.0,0.0,0.00018709073900841907
1800,0.0,0.0,0.0,0.0,0.0
1900,0.0,0.00018709073900841907,0.0,0.0,0.0
2000,0.0,0.00018709073900841907,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.0,0.0
2200,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0
2400,0.0,0.0,0.0,0.0,0.00018709073900841907
2500,0.00018709073900841907,0.00018709073900841907,0.0,0.0,0.0
2600,0.0,0.0,0.0,0.0,0.0
2700,0.0,0.0,0.0,0.0,0.00018709073900841907
2800,0.0,0.0,0.0,0.0,0.00018709073900841907
2900,0.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0,0.0,0.0
3100,0.0,0.0,0.0,0.0,0.00018709073900841907
3200,0.0,0.0,0.0,0.0,0.0
3300,0.0,0.0,0.0,0.0,0.0
3400,0.0,0.0,0.0,0.0,0.0
3500,0.0,0.0,0.0,0.0,0.00018709073900841907
3600,0.0,0.0,0.0,0.0,0.0
3700,0.0,0.00018709073900841907,0.0,0.0,0.00018709073900841907
3800,0.0,0.0,0.0,0.0,0.0
3900,0.0,0.0,0.0,0.0,0.0
4000,0.0,0.00018709073900841907,0.0,0.0,0.0
4100,0.0,0.0,0.00018709073900841907,0.0,0.0
4200,0.0,0.0,0.0,0.0,0.0
4300,0.0,0.0,0.0,0.0,0.00018709073900841907
4400,0.0,0.0,0.0,0.0,0.0
4500,0.0,0.0,0.0,0.0,0.0
4600,0.0,0.0,0.0,0.0,0.0
4700,0.00018709073900841907,0.0,0.0,0.0,0.0
4800,0.0,0.0,0.0,0.0,0.00018709073900841907
4900,0.0,0.0,0.0,0.0,0.0
5000,0.0,0.0,0.0,0.009354536950420954,0.0
