latitude,longitude
44.646807,10.930316
44.646789,10.930299
44.646769,10.930284
44.646759,10.930271
44.646748,10.930252
44.646729,10.930229
44.64672,10.930223
44.646711,10.93022
44.646704,10.930212
44.646672,10.930182
44.646636,10.930157
44.646621,10.93015
44.646612,10.930144
44.646601,10.930132
44.646593,10.930121
44.64659,10.930119
44.646571,10.930122
44.646536,10.930095
44.646532,10.930083
44.646525,10.930085
44.646501,10.930067
44.646491,10.930047
44.646476,10.930028
44.64645,10.930017
44.646429,10.929992
44.646427,10.929986
44.646422,10.929985
44.646417,10.929984
44.646416,10.929981
44.646386,10.929945
44.646374,10.929944
44.646345,10.929913
44.646333,10.929917
44.646298,10.929894
44.646292,10.929881
44.646261,10.929856
44.646242,10.929854
44.64621,10.929829
44.646203,10.929823
44.646196,10.929821
44.646186,10.929812
44.646155,10.929785
44.646152,10.92978
44.646118,10.929748
44.646109,10.929742
44.646082,10.929718
44.646079,10.929709
44.646046,10.929678
44.646022,10.92966
44.646015,10.929651
44.646001,10.929644
44.64598,10.929629
44.645978,10.929627
44.645969,10.929616
44.645954,10.929603
44.645921,10.929578
44.645906,10.929568
44.645873,10.929546
44.645854,10.929528
44.645843,10.929518
44.64581,10.92949
44.645799,10.929488
44.645795,10.929482
44.645784,10.929473
44.64576,10.929457
44.645725,10.929431
44.645702,10.92941
44.645669,10.929383
44.64564,10.929351
44.64561,10.929332
44.645608,10.929326
44.645575,10.929298
44.645561,10.929282
44.645527,10.929254
44.645514,10.929249
44.645508,10.929241
44.645503,10.929239
44.645492,10.929227
44.645482,10.929217
44.645459,10.929203
44.645454,10.929199
44.64545,10.929197
44.645442,10.929192
44.645438,10.929191
44.645434,10.929183
44.645434,10.929181
44.645427,10.929175
44.645421,10.929179
44.645416,10.929176
44.645408,10.929163
44.645405,10.929164
44.645399,10.92916
44.645397,10.929157
44.645394,10.929152
44.645391,10.929151
44.645386,10.929151
44.645384,10.929149
44.645382,10.92915
44.645381,10.929148
44.645378,10.929148
44.645372,10.929146
44.645373,10.929154
44.645374,10.929151
44.645373,10.929151
44.645373,10.929151
44.645372,10.92915
44.645372,10.92915
44.645371,10.929147
44.645371,10.929146
44.64537,10.929148
44.645368,10.929149
44.645368,10.929148
44.645364,10.929148
44.645363,10.929147
44.645362,10.929146
44.645361,10.929146
44.645361,10.929148
44.645359,10.929148
44.645351,10.929147
44.645351,10.929147
44.645351,10.929146
44.645349,10.929149
44.645348,10.929148
44.645347,10.929146
44.645346,10.929146
44.645345,10.929146
44.645344,10.929145
44.645343,10.929144
44.645342,10.929142
44.645342,10.929141
44.64534,10.929142
44.645339,10.929142
44.645338,10.929145
44.645337,10.929143
44.645337,10.929143
44.645336,10.929144
44.645335,10.929143
44.645333,10.929145
44.645332,10.929145
44.64533,10.929145
44.645332,10.929135
44.645331,10.929133
44.645329,10.929131
44.645328,10.929132
44.645322,10.929127
44.64532,10.929127
44.645317,10.929129
44.645311,10.929131
44.64531,10.929133
44.645308,10.929132
44.645305,10.929131
44.645304,10.929129
44.645303,10.929126
44.645297,10.929122
44.645294,10.92912
44.645292,10.92912
44.645281,10.929116
44.645279,10.929117
44.645279,10.929117
44.645275,10.929117
44.64527,10.929118
44.645268,10.929121
44.645259,10.929126
44.645251,10.929126
44.645248,10.929128
44.645243,10.929134
44.645229,10.929145
44.645223,10.929148
44.645222,10.92915
44.645218,10.929159
44.64521,10.929164
44.645204,10.929174
44.645202,10.929178
44.6452,10.929183
44.645195,10.92919
44.645191,10.929201
44.645186,10.929209
44.64519,10.929213
44.645188,10.929224
44.645184,10.929229
44.645184,10.929234
44.645171,10.929252
44.645166,10.92927
44.645162,10.929272
44.645159,10.929275
44.645155,10.929284
44.645154,10.92929
44.64516,10.929294
44.645152,10.929306
44.645136,10.929332
44.645133,10.92934
44.645122,10.929368
44.64512,10.929378
44.645119,10.929391
44.645115,10.929401
44.645105,10.929418
44.645105,10.929424
44.645103,10.929421
44.645084,10.929461
44.645081,10.92947
44.645076,10.929478
44.645075,10.929483
44.645071,10.929491
44.645071,10.929495
