seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
1,1637678655759941,100.086000,44.647063,10.928807,14.300000,3.630000,300,1,1,1,0
2,1637678655959912,199.971000,44.647068,10.928811,20.000000,3.330000,300,0,1,0,0
3,1637678656159942,200.030000,44.647180,10.928937,21.700000,3.260000,300,0,0,1,0
4,1637678656259926,99.984000,44.647181,10.928942,35.900000,3.050000,300,0,1,0,0
5,1637678656560053,300.127000,44.647188,10.928945,20.800000,2.960000,300,0,1,0,0
6,1637678656859942,299.889000,44.647194,10.928951,33.400000,2.800000,300,0,1,0,0
7,1637678656959953,100.011000,44.647196,10.928950,21.200000,2.630000,300,0,1,0,0
8,1637678657359929,399.976000,44.647209,10.928937,350.900000,2.630000,300,0,1,0,0
9,1637678657559951,200.022000,44.647212,10.928937,358.100000,2.100000,300,1,1,0,0
10,1637678657959961,400.010000,44.647218,10.928935,344.000000,1.600000,300,1,1,0,0
11,1637678658159936,199.975000,44.647223,10.928934,9.300000,1.830000,300,0,1,0,0
12,1637678658259930,99.994000,44.647225,10.928933,3.500000,1.660000,300,0,1,0,0
13,1637678658360072,100.142000,44.647226,10.928935,10.200000,1.580000,300,0,1,0,0
14,1637678658559939,199.867000,44.647229,10.928937,17.400000,1.630000,300,0,1,0,0
15,1637678658759937,199.998000,44.647231,10.928939,22.700000,1.590000,300,0,1,0,0
16,1637678659059902,299.965000,44.647235,10.928941,16.100000,1.480000,300,0,1,0,0
17,1637678659159931,100.029000,44.647268,10.928968,353.500000,2.040000,300,1,1,1,0
18,1637678659259950,100.019000,44.647268,10.928964,335.400000,1.790000,300,0,1,0,0
19,1637678659359937,99.987000,44.647269,10.928970,19.700000,1.610000,300,0,1,0,0
20,1637678659459942,100.005000,44.647270,10.928971,24.600000,1.360000,300,0,1,0,0
21,1637678659659941,199.999000,44.647274,10.928971,15.800000,1.660000,300,0,1,0,0
22,1637678659760072,100.131000,44.647274,10.928977,48.200000,1.820000,300,0,1,0,0
23,1637678659959904,199.832000,44.647276,10.928978,39.500000,1.470000,300,0,1,0,0
24,1637678660059900,99.996000,44.647277,10.928980,50.600000,1.500000,300,0,1,0,0
25,1637678660159934,100.034000,44.647279,10.928976,28.600000,1.570000,300,0,1,0,0
26,1637678660259940,100.006000,44.647279,10.928977,41.200000,1.380000,300,0,1,0,0
27,1637678660359946,100.006000,44.647280,10.928981,55.000000,1.570000,300,0,1,0,0
28,1637678660460048,100.102000,44.647281,10.928981,45.800000,1.380000,300,0,1,0,0
29,1637678660559936,99.888000,44.647282,10.928982,51.400000,1.290000,300,0,1,0,0
30,1637678660759942,200.006000,44.647283,10.928988,68.100000,1.670000,300,0,1,0,0
31,1637678660859969,100.027000,44.647284,10.928989,60.800000,1.530000,300,0,1,0,0
32,1637678661059893,199.924000,44.647284,10.928993,76.300000,1.480000,300,0,1,0,0
33,1637678661359932,300.039000,44.647284,10.928990,69.400000,1.920000,300,0,1,0,0
34,1637678661459924,99.992000,44.647284,10.928992,79.500000,1.760000,300,0,1,0,0
35,1637678661559924,100.000000,44.647284,10.928993,85.200000,1.610000,300,0,1,0,0
36,1637678661659931,100.007000,44.647283,10.928995,91.300000,1.360000,300,0,1,0,0
37,1637678661759926,99.995000,44.647284,10.928997,73.500000,1.470000,300,0,1,0,0
38,1637678661860074,100.148000,44.647283,10.929000,96.100000,1.630000,300,0,1,0,0
39,1637678661959925,99.851000,44.647282,10.928999,115.500000,1.140000,300,0,1,0,0
40,1637678662059933,100.008000,44.647283,10.929001,102.200000,1.210000,300,0,1,0,0
41,1637678662159925,99.992000,44.647305,10.929050,91.300000,1.180000,300,0,1,1,0
42,1637678662359927,200.002000,44.647303,10.929055,121.100000,1.610000,300,0,1,0,0
43,1637678662459928,100.001000,44.647302,10.929058,128.400000,1.970000,300,0,1,0,0
44,1637678662759926,299.998000,44.647299,10.929060,133.800000,1.470000,300,1,1,0,0
45,1637678662859927,100.001000,44.647299,10.929062,123.500000,1.460000,300,0,1,0,0
46,1637678663159926,299.999000,44.647317,10.929085,137.100000,1.000000,300,0,1,0,0
47,1637678663359930,200.004000,44.647314,10.929088,140.500000,1.580000,300,1,0,0,0
48,1637678663859926,499.996000,44.647307,10.929100,136.200000,2.040000,300,0,1,0,0
49,1637678665159933,1300.007000,44.647296,10.929163,118.500000,3.280000,300,1,1,1,0
50,1637678665259930,99.997000,44.647292,10.929171,118.800000,4.100000,300,1,0,0,0
51,1637678665459935,200.005000,44.647286,10.929179,125.000000,4.310000,300,0,1,0,0
52,1637678665659932,199.997000,44.647283,10.929188,119.900000,4.220000,300,0,1,0,0
53,1637678665959927,299.995000,44.647279,10.929204,112.900000,4.390000,300,0,1,0,0
54,1637678666059902,99.975000,44.647276,10.929208,117.200000,4.370000,300,0,1,0,0
55,1637678666259928,200.026000,44.647275,10.929222,111.000000,4.830000,300,0,1,0,0
56,1637678666459936,200.008000,44.647270,10.929232,116.800000,4.870000,300,0,1,0,0
57,1637678667159928,699.992000,44.647261,10.929283,109.300000,5.040000,300,0,1,1,0
58,1637678668059897,899.969000,44.647249,10.929336,107.600000,5.060000,300,0,0,1,0
59,1637678668159951,100.054000,44.647245,10.929340,122.400000,4.980000,300,0,1,0,0
60,1637678668959909,799.958000,44.647229,10.929382,117.000000,4.380000,300,1,1,0,0
61,1637678669159948,200.039000,44.647231,10.929394,113.000000,4.890000,300,1,1,0,0
62,1637678669459930,299.982000,44.647224,10.929409,119.700000,4.730000,300,0,1,0,0
63,1637678669759943,300.013000,44.647220,10.929424,115.000000,4.290000,300,0,1,0,0
64,1637678669859926,99.983000,44.647215,10.929426,126.800000,4.140000,300,0,1,0,0
65,1637678670059903,199.977000,44.647214,10.929438,112.300000,4.410000,300,0,1,0,0
66,1637678670159927,100.024000,44.647234,10.929456,105.300000,4.460000,300,0,1,0,0
67,1637678670559951,400.024000,44.647228,10.929477,113.100000,4.490000,300,0,1,0,0
68,1637678670860000,300.049000,44.647225,10.929494,103.200000,4.750000,300,0,1,0,0
69,1637678671260086,400.086000,44.647228,10.929517,115.200000,4.150000,300,1,1,0,0
70,1637678671459945,199.859000,44.647221,10.929528,124.100000,4.940000,300,1,1,0,0
71,1637678671559947,100.002000,44.647221,10.929534,116.300000,4.580000,300,0,1,0,0
72,1637678671659934,99.987000,44.647221,10.929539,111.800000,4.370000,300,0,1,0,0
73,1637678672159940,500.006000,44.647220,10.929568,97.000000,4.650000,300,0,1,0,0
74,1637678672359936,199.996000,44.647215,10.929580,108.700000,5.160000,300,1,1,0,0
75,1637678672859940,500.004000,44.647201,10.929609,124.200000,5.650000,300,0,1,0,0
76,1637678672959927,99.987000,44.647202,10.929614,116.500000,4.820000,300,1,1,0,0
77,1637678673159904,199.977000,44.647210,10.929629,95.000000,4.740000,300,0,1,0,0
78,1637678673360064,200.160000,44.647204,10.929642,110.000000,5.450000,300,1,1,0,0
79,1637678673459973,99.909000,44.647204,10.929648,104.000000,5.140000,300,0,1,0,0
80,1637678673659949,199.976000,44.647200,10.929657,114.700000,4.620000,300,1,1,0,0
81,1637678673859957,200.008000,44.647196,10.929670,112.100000,5.190000,300,1,0,0,0
82,1637678674459952,599.995000,44.647185,10.929702,115.800000,4.330000,300,1,0,0,0
83,1637678674759971,300.019000,44.647177,10.929713,127.600000,3.960000,300,0,1,0,0
84,1637678675059903,299.932000,44.647175,10.929726,114.300000,3.550000,300,0,1,0,0
85,1637678675159939,100.036000,44.647175,10.929726,119.700000,3.640000,300,0,1,0,0
86,1637678675359932,199.993000,44.647174,10.929736,110.500000,3.550000,300,0,1,0,0
87,1637678675459935,100.003000,44.647172,10.929737,114.700000,3.080000,300,0,1,0,0
88,1637678675559956,100.021000,44.647171,10.929739,112.000000,2.450000,300,1,0,0,0
89,1637678675959904,399.948000,44.647166,10.929755,117.600000,3.290000,300,1,1,0,0
90,1637678676359949,400.045000,44.647158,10.929768,123.700000,3.460000,300,0,1,0,0
91,1637678676559956,200.007000,44.647156,10.929773,123.800000,2.670000,300,1,0,0,0
92,1637678676859938,299.982000,44.647147,10.929780,141.000000,3.230000,300,1,1,0,0
93,1637678676959958,100.020000,44.647144,10.929784,137.000000,3.560000,300,0,1,0,0
94,1637678677159946,199.988000,44.647164,10.929810,117.500000,3.830000,300,0,1,0,0
95,1637678677560556,400.610000,44.647156,10.929824,128.000000,3.550000,300,0,1,0,0
96,1637678677659927,99.371000,44.647154,10.929830,127.100000,4.110000,300,1,0,0,0
97,1637678677859947,200.020000,44.647151,10.929838,118.200000,3.760000,300,0,1,0,0
98,1637678677959939,99.992000,44.647150,10.929841,113.700000,3.540000,300,0,1,0,0
99,1637678678259940,300.001000,44.647159,10.929860,108.000000,3.370000,300,0,1,0,0
100,1637678678559942,300.002000,44.647155,10.929869,118.300000,2.890000,300,0,1,0,0
101,1637678678659966,100.024000,44.647155,10.929873,110.500000,2.940000,300,0,1,0,0
102,1637678678760002,100.036000,44.647155,10.929876,106.100000,2.650000,300,0,1,0,0
103,1637678678859924,99.922000,44.647151,10.929881,120.400000,3.630000,300,1,1,0,0
104,1637678679159931,300.007000,44.647144,10.929890,132.800000,2.740000,300,1,1,0,0
105,1637678679459940,300.009000,44.647138,10.929897,138.800000,2.900000,300,0,1,0,0
106,1637678679559924,99.984000,44.647137,10.929900,132.100000,2.750000,300,0,1,0,0
107,1637678679659933,100.009000,44.647134,10.929903,137.300000,3.120000,300,0,1,0,0
108,1637678679759956,100.023000,44.647133,10.929904,138.300000,2.580000,300,1,0,0,0
109,1637678679960026,200.070000,44.647130,10.929911,130.400000,2.830000,300,0,1,0,0
110,1637678680159899,199.873000,44.647122,10.929920,135.300000,3.670000,300,1,1,0,0
111,1637678680259940,100.041000,44.647124,10.929924,122.400000,3.200000,300,0,1,0,0
112,1637678680459944,200.004000,44.647119,10.929931,127.900000,3.340000,300,0,1,0,0
113,1637678680859941,399.997000,44.647113,10.929946,123.300000,3.520000,300,0,1,0,0
114,1637678681159939,299.998000,44.647111,10.929962,112.500000,3.500000,300,0,1,0,0
115,1637678681359956,200.017000,44.647106,10.929972,116.200000,4.000000,300,1,0,0,0
116,1637678681459930,99.974000,44.647108,10.929977,106.200000,3.950000,300,0,1,0,0
117,1637678682059898,599.968000,44.647096,10.930003,120.400000,4.220000,300,0,1,0,0
118,1637678683059925,1000.027000,44.647076,10.930048,123.600000,4.410000,300,0,0,1,0
119,1637678683159925,100.000000,44.647075,10.930049,128.100000,4.100000,300,0,1,0,0
120,1637678683359936,200.011000,44.647072,10.930059,115.400000,4.110000,300,0,1,0,0
121,1637678683559925,199.989000,44.647068,10.930067,120.900000,3.830000,300,0,1,0,0
