seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
35,1638803460007054,400.870000,44.662523,10.924646,110.900000,7.130000,300,1,0,0,0
36,1638803460506169,499.115000,44.662518,10.924701,109.600000,6.650000,300,0,0,1,0
37,1638803461106184,600.015000,44.662511,10.924751,108.200000,6.140000,300,1,0,1,0
38,1638803461806163,699.979000,44.662498,10.924802,107.500000,5.720000,300,0,0,1,0
39,1638803462406388,600.225000,44.662502,10.924849,112.800000,5.310000,300,0,1,0,0
40,1638803462506155,99.767000,44.662502,10.924856,107.700000,5.330000,300,0,1,0,0
41,1638803462806218,300.063000,44.662498,10.924873,108.100000,4.730000,300,1,0,0,0
42,1638803462906510,100.292000,44.662496,10.924879,113.200000,4.730000,300,0,1,0,0
43,1638803463506229,599.719000,44.662494,10.924913,113.500000,4.090000,300,1,0,0,0
44,1638803464008396,502.167000,44.662488,10.924934,115.800000,3.540000,300,1,0,0,0
45,1638803464106158,97.762000,44.662488,10.924938,109.700000,3.560000,300,0,1,0,0
46,1638803464506442,400.284000,44.662485,10.924951,108.700000,3.000000,300,1,0,0,0
47,1638803464606505,100.063000,44.662483,10.924955,119.600000,3.170000,300,0,1,0,0
48,1638803464706184,99.679000,44.662483,10.924958,108.700000,2.950000,300,0,1,0,0
49,1638803464806153,99.969000,44.662482,10.924961,114.200000,2.880000,300,0,1,0,0
50,1638803464906357,100.204000,44.662480,10.924964,108.700000,2.730000,300,0,1,0,0
51,1638803465106166,199.809000,44.662475,10.924970,115.400000,2.730000,300,0,1,0,0
52,1638803465306576,200.410000,44.662474,10.924974,115.400000,2.160000,300,1,0,0,0
53,1638803465606220,299.644000,44.662471,10.924983,110.800000,2.470000,300,0,1,0,0
54,1638803466106193,499.973000,44.662467,10.924997,121.800000,2.320000,300,0,1,0,0
55,1638803466306163,199.970000,44.662464,10.925001,131.200000,2.350000,300,0,1,0,0
56,1638803466506222,200.059000,44.662460,10.925006,138.900000,2.480000,300,0,1,0,0
57,1638803466606643,100.421000,44.662459,10.925008,121.800000,2.310000,300,0,1,0,0
58,1638803467606486,999.843000,44.662442,10.925018,125.600000,1.990000,300,0,0,0,1
59,1638803468606435,999.949000,44.662420,10.925019,125.600000,2.440000,300,0,0,0,1
60,1638803469106466,500.031000,44.662394,10.925023,189.300000,4.080000,300,1,1,0,0
61,1638803469206639,100.173000,44.662388,10.925023,187.300000,4.630000,300,1,0,0,0
62,1638803469406174,199.535000,44.662380,10.925018,192.700000,4.830000,300,0,1,0,0
