seq_num,timestamp,Tgen,latitude,longitude,heading,velocity,size,flag_speed,flag_heading,flag_distance,flag_timeout
0,1638803460007054,400.87,44.662523,10.924646,110.9,7.13,300,1,0,0,0
1,1638803460506169,499.115,44.662518,10.924701,109.6,6.65,300,0,0,1,0
2,1638803461106184,600.015,44.662511,10.924751,108.2,6.14,300,1,0,1,0
3,1638803461806163,699.979,44.662498,10.924802,107.5,5.72,300,0,0,1,0
4,1638803462406388,600.225,44.662502,10.924849,112.8,5.31,300,0,1,0,0
5,1638803462506155,99.767,44.662502,10.924856,107.7,5.33,300,0,1,0,0
6,1638803462806218,300.063,44.662498,10.924873,108.1,4.73,300,1,0,0,0
7,1638803462906510,100.292,44.662496,10.924879,113.2,4.73,300,0,1,0,0
8,1638803463506229,599.719,44.662494,10.924913,113.5,4.09,300,1,0,0,0
9,1638803464008396,502.167,44.662488,10.924934,115.8,3.54,300,1,0,0,0
10,1638803464106158,97.762,44.662488,10.924938,109.7,3.56,300,0,1,0,0
11,1638803464506442,400.284,44.662485,10.924951,108.7,3.0,300,1,0,0,0
12,1638803464606505,100.063,44.662483,10.924955,119.6,3.17,300,0,1,0,0
13,1638803464706184,99.679,44.662483,10.924958,108.7,2.95,300,0,1,0,0
14,1638803464806153,99.969,44.662482,10.924961,114.2,2.88,300,0,1,0,0
15,1638803464906357,100.204,44.66248,10.924964,108.7,2.73,300,0,1,0,0
16,1638803465106166,199.809,44.662475,10.92497,115.4,2.73,300,0,1,0,0
17,1638803465306576,200.41,44.662474,10.924974,115.4,2.16,300,1,0,0,0
18,1638803465606220,299.644,44.662471,10.924983,110.8,2.47,300,0,1,0,0
19,1638803466106193,499.973,44.662467,10.924997,121.8,2.32,300,0,1,0,0
20,1638803466306163,199.97,44.662464,10.925001,131.2,2.35,300,0,1,0,0
21,1638803466506222,200.059,44.66246,10.925006,138.9,2.48,300,0,1,0,0
22,1638803466606643,100.421,44.662459,10.925008,121.8,2.31,300,0,1,0,0
23,1638803467606486,999.843,44.662442,10.925018,125.6,1.99,300,0,0,0,1
24,1638803468606435,999.949,44.66242,10.925019,125.6,2.44,300,0,0,0,1
25,1638803469106466,500.031,44.662394,10.925023,189.3,4.08,300,1,1,0,0
26,1638803469206639,100.173,44.662388,10.925023,187.3,4.63,300,1,0,0,0
27,1638803469406174,199.535,44.66238,10.925018,192.7,4.83,300,0,1,0,0
28,1638803469806498,400.324,44.662361,10.925015,187.2,5.27,300,0,1,0,0
