seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
230,1643449934554323,400.006000,44.629826,10.872543,258.600000,3.700000,300,1,0,0,0
231,1643449935554320,999.997000,44.629819,10.872496,260.700000,4.050000,300,0,0,0,1
232,1643449936554320,1000.000000,44.629810,10.872444,260.000000,4.370000,300,0,0,1,0
233,1643449937154308,599.988000,44.629806,10.872410,260.000000,4.900000,300,1,0,0,0
234,1643449937954320,800.012000,44.629800,10.872359,262.300000,5.160000,300,0,0,1,0
235,1643449938754319,799.999000,44.629793,10.872307,260.100000,5.440000,300,0,0,1,0
236,1643449939554321,800.002000,44.629786,10.872252,262.400000,5.540000,300,0,0,1,0
237,1643449940054277,499.956000,44.629783,10.872214,263.000000,6.240000,300,1,0,0,0
238,1643449940554320,500.043000,44.629780,10.872172,265.400000,7.000000,300,1,0,0,0
239,1643449941154319,599.999000,44.629774,10.872120,261.700000,7.200000,300,0,0,1,0
240,1643449941754327,600.008000,44.629769,10.872068,261.500000,7.080000,300,0,0,1,0
241,1643449942354324,599.997000,44.629764,10.872017,263.100000,7.060000,300,0,0,1,0
242,1643449942654331,300.007000,44.629760,10.871992,259.000000,6.750000,300,0,1,0,0
243,1643449943354309,699.978000,44.629751,10.871936,257.600000,6.270000,300,0,0,1,0
244,1643449943754338,400.029000,44.629745,10.871908,252.400000,6.040000,300,0,1,0,0
245,1643449944454310,699.972000,44.629734,10.871858,250.700000,5.720000,300,0,0,1,0
246,1643449944554331,100.021000,44.629730,10.871853,244.400000,5.670000,300,0,1,0,0
247,1643449944854321,299.990000,44.629721,10.871833,238.800000,5.930000,300,0,1,0,0
248,1643449945054322,200.001000,44.629713,10.871822,230.200000,5.740000,300,0,1,0,0
249,1643449945454312,399.990000,44.629698,10.871802,221.700000,5.900000,300,0,1,0,0
250,1643449945654323,200.011000,44.629689,10.871793,217.300000,6.020000,300,0,1,0,0
251,1643449945954326,300.003000,44.629676,10.871782,212.700000,5.920000,300,0,1,0,0
252,1643449946254315,299.989000,44.629663,10.871775,206.700000,5.580000,300,0,1,0,0
253,1643449946554312,299.997000,44.629650,10.871768,200.400000,5.490000,300,0,1,0,0
254,1643449947054280,499.968000,44.629627,10.871757,195.100000,5.400000,300,0,1,0,0
255,1643449947354309,300.029000,44.629617,10.871753,195.900000,4.390000,300,1,0,0,0
256,1643449947454326,100.017000,44.629612,10.871752,190.800000,4.810000,300,0,1,0,0
257,1643449947854321,399.995000,44.629596,10.871745,196.100000,4.750000,300,0,1,0,0
258,1643449947954378,100.057000,44.629592,10.871745,191.500000,4.360000,300,0,1,0,0
259,1643449948154315,199.937000,44.629586,10.871741,195.900000,4.350000,300,0,1,0,0
260,1643449948354323,200.008000,44.629577,10.871740,188.800000,4.520000,300,0,1,0,0
261,1643449948454341,100.018000,44.629574,10.871738,194.900000,4.440000,300,0,1,0,0
262,1643449948654321,199.980000,44.629567,10.871733,201.200000,4.230000,300,0,1,0,0
263,1643449948854331,200.010000,44.629561,10.871732,196.000000,3.950000,300,0,1,0,0
264,1643449949354319,499.988000,44.629543,10.871724,202.300000,3.660000,300,0,1,0,0
265,1643449949654326,300.007000,44.629535,10.871717,208.100000,3.480000,300,0,1,0,0
266,1643449950254316,599.990000,44.629517,10.871705,212.600000,3.620000,300,0,1,0,0
267,1643449950454326,200.010000,44.629512,10.871699,217.000000,3.590000,300,0,1,0,0
268,1643449950754321,299.995000,44.629504,10.871689,224.200000,3.860000,300,0,1,0,0
269,1643449951054276,299.955000,44.629498,10.871677,232.700000,3.880000,300,0,1,0,0
270,1643449951354389,300.113000,44.629494,10.871665,240.900000,3.970000,300,0,1,0,0
271,1643449951554328,199.939000,44.629492,10.871655,251.500000,4.130000,300,0,1,0,0
272,1643449951854321,299.993000,44.629489,10.871639,255.600000,4.290000,300,0,1,0,0
273,1643449951954335,100.014000,44.629489,10.871633,263.600000,4.380000,300,0,1,0,0
274,1643449952454326,499.991000,44.629489,10.871603,271.300000,5.090000,300,1,1,0,0
275,1643449952754319,299.993000,44.629490,10.871583,276.000000,5.490000,300,0,1,0,0
276,1643449953054281,299.962000,44.629494,10.871562,283.400000,5.560000,300,0,1,0,0
277,1643449953454319,400.038000,44.629498,10.871533,285.400000,6.150000,300,1,0,0,0
278,1643449953954324,500.005000,44.629508,10.871494,289.600000,6.830000,300,1,1,0,0
279,1643449954654341,700.017000,44.629520,10.871441,288.700000,6.790000,300,0,0,1,0
280,1643449954854336,199.995000,44.629524,10.871422,287.400000,7.420000,300,1,0,0,0
281,1643449955454321,599.985000,44.629534,10.871366,283.200000,7.910000,300,0,1,1,0
282,1643449955954320,499.999000,44.629542,10.871316,281.800000,8.230000,300,0,0,1,0
283,1643449956254317,299.997000,44.629545,10.871283,278.700000,8.820000,300,1,0,0,0
284,1643449956754312,499.995000,44.629550,10.871228,276.300000,9.040000,300,0,0,1,0
285,1643449957254320,500.008000,44.629553,10.871167,273.800000,9.300000,300,0,0,1,0
286,1643449957754316,499.996000,44.629553,10.871106,269.700000,9.710000,300,0,1,1,0
287,1643449958254318,500.002000,44.629552,10.871047,267.000000,9.390000,300,0,0,1,0
288,1643449958554324,300.006000,44.629550,10.871010,266.000000,9.940000,300,1,0,0,0
289,1643449958954321,399.997000,44.629547,10.870959,263.800000,10.150000,300,0,0,1,0
290,1643449959354328,400.007000,44.629542,10.870907,262.200000,10.330000,300,0,0,1,0
291,1643449959754630,400.302000,44.629537,10.870854,261.000000,10.610000,300,0,0,1,0
292,1643449960154311,399.681000,44.629532,10.870801,262.400000,10.680000,300,0,0,1,0
293,1643449960554311,400.000000,44.629526,10.870747,262.000000,10.980000,300,0,0,1,0
294,1643449960954311,400.000000,44.629520,10.870692,261.400000,11.010000,300,0,0,1,0
295,1643449961354312,400.001000,44.629514,10.870637,261.400000,10.930000,300,0,0,1,0
296,1643449961754336,400.024000,44.629509,10.870583,261.700000,10.800000,300,0,0,1,0
297,1643449962154319,399.983000,44.629504,10.870529,261.300000,10.660000,300,0,0,1,0
298,1643449962554319,400.000000,44.629498,10.870476,262.000000,10.590000,300,0,0,1,0
299,1643449962954311,399.992000,44.629493,10.870423,262.400000,10.660000,300,0,0,1,0
300,1643449963354317,400.006000,44.629487,10.870373,260.700000,10.370000,300,0,0,1,0
301,1643449963754322,400.005000,44.629482,10.870319,262.500000,10.680000,300,0,0,1,0
302,1643449964154335,400.013000,44.629475,10.870265,260.700000,10.840000,300,0,0,1,0
303,1643449964554424,400.089000,44.629470,10.870212,263.000000,10.860000,300,0,0,1,0
304,1643449964954396,399.972000,44.629465,10.870159,262.800000,10.690000,300,0,0,1,0
305,1643449965355014,400.618000,44.629460,10.870106,262.800000,10.700000,300,0,0,1,0
306,1643449965754319,399.305000,44.629456,10.870051,264.200000,10.790000,300,0,0,1,0
307,1643449966154319,400.000000,44.629453,10.869998,265.400000,10.700000,300,0,0,1,0
308,1643449966554316,399.997000,44.629450,10.869944,266.600000,10.800000,300,0,0,1,0
309,1643449966954327,400.011000,44.629449,10.869889,268.200000,10.990000,300,0,0,1,0
310,1643449967354327,400.000000,44.629448,10.869834,269.200000,10.980000,300,0,0,1,0
311,1643449967754328,400.001000,44.629447,10.869778,269.500000,11.100000,300,0,0,1,0
312,1643449968154318,399.990000,44.629446,10.869724,269.200000,10.990000,300,0,0,1,0
313,1643449968554325,400.007000,44.629445,10.869668,269.300000,11.130000,300,0,0,1,0
314,1643449968954322,399.997000,44.629445,10.869611,270.100000,11.170000,300,0,0,1,0
315,1643449969354334,400.012000,44.629444,10.869556,269.200000,11.080000,300,0,0,1,0
316,1643449969754325,399.991000,44.629444,10.869499,269.300000,11.140000,300,0,0,1,0
317,1643449970154318,399.993000,44.629444,10.869444,269.600000,10.940000,300,0,0,1,0
318,1643449970554315,399.997000,44.629444,10.869389,269.900000,11.060000,300,0,0,1,0
319,1643449970954321,400.006000,44.629444,10.869333,271.000000,11.050000,300,0,0,1,0
320,1643449971354324,400.003000,44.629444,10.869279,270.000000,10.920000,300,0,0,1,0
321,1643449971754321,399.997000,44.629446,10.869224,271.900000,10.830000,300,0,0,1,0
322,1643449972154311,399.990000,44.629448,10.869170,274.000000,10.790000,300,0,0,1,0
323,1643449972554321,400.010000,44.629451,10.869116,274.500000,10.570000,300,0,0,1,0
324,1643449972954329,400.008000,44.629456,10.869064,276.400000,10.530000,300,0,0,1,0
325,1643449973354334,400.005000,44.629461,10.869012,279.200000,10.450000,300,0,0,1,0
326,1643449973754322,399.988000,44.629468,10.868962,280.600000,10.090000,300,0,0,1,0
327,1643449974154311,399.989000,44.629476,10.868912,282.900000,10.170000,300,0,0,1,0
328,1643449974654285,499.974000,44.629486,10.868851,283.900000,9.930000,300,0,0,1,0
329,1643449975154427,500.142000,44.629497,10.868790,283.700000,9.770000,300,0,0,1,0
330,1643449975654339,499.912000,44.629507,10.868732,284.600000,9.640000,300,0,0,1,0
331,1643449976154330,499.991000,44.629518,10.868673,284.700000,9.520000,300,0,0,1,0
332,1643449976654313,499.983000,44.629530,10.868615,285.700000,9.460000,300,0,0,1,0
333,1643449977154327,500.014000,44.629541,10.868558,285.700000,9.480000,300,0,0,1,0
334,1643449977654332,500.005000,44.629554,10.868501,287.200000,9.360000,300,0,0,1,0
335,1643449978154308,499.976000,44.629567,10.868444,286.800000,9.320000,300,0,0,1,0
336,1643449978654321,500.013000,44.629579,10.868389,287.700000,9.210000,300,0,0,1,0
337,1643449979154331,500.010000,44.629592,10.868333,289.000000,9.310000,300,0,0,1,0
338,1643449979654317,499.986000,44.629606,10.868280,289.300000,8.970000,300,0,0,1,0
339,1643449980154336,500.019000,44.629619,10.868225,289.600000,9.200000,300,0,0,1,0
340,1643449980654312,499.976000,44.629631,10.868171,288.300000,9.010000,300,0,0,1,0
341,1643449981154310,499.998000,44.629644,10.868116,287.300000,9.150000,300,0,0,1,0
342,1643449981654317,500.007000,44.629656,10.868062,287.000000,9.100000,300,0,0,1,0
343,1643449982154316,499.999000,44.629668,10.868008,286.300000,9.120000,300,0,0,1,0
344,1643449982654451,500.135000,44.629679,10.867951,286.000000,9.380000,300,0,0,1,0
345,1643449983154335,499.884000,44.629689,10.867894,283.500000,9.350000,300,0,0,1,0
346,1643449983654309,499.974000,44.629699,10.867837,283.100000,9.440000,300,0,0,1,0
347,1643449984154318,500.009000,44.629706,10.867780,279.400000,9.170000,300,0,0,1,0
348,1643449984654318,500.000000,44.629713,10.867723,278.400000,9.140000,300,0,0,1,0
349,1643449985154310,499.992000,44.629716,10.867667,274.800000,8.830000,300,0,0,1,0
350,1643449985654319,500.009000,44.629718,10.867615,272.800000,8.510000,300,0,0,1,0
351,1643449986154315,499.996000,44.629718,10.867562,269.900000,8.240000,300,0,0,1,0
352,1643449986454311,299.996000,44.629717,10.867532,265.600000,7.990000,300,0,1,0,0
353,1643449986954317,500.006000,44.629714,10.867481,265.900000,8.110000,300,0,0,1,0
354,1643449987454322,500.005000,44.629711,10.867430,264.600000,8.190000,300,0,0,1,0
355,1643449987954326,500.004000,44.629707,10.867379,262.500000,8.120000,300,0,0,1,0
356,1643449988454325,499.999000,44.629703,10.867328,263.600000,8.080000,300,0,0,1,0
357,1643449988954329,500.004000,44.629698,10.867278,260.800000,7.990000,300,0,0,1,0
358,1643449989554328,599.999000,44.629691,10.867220,260.500000,8.030000,300,0,0,1,0
359,1643449989754320,199.992000,44.629688,10.867199,5.000000,8.250000,300,0,1,0,0
360,1643449989854322,100.002000,44.629687,10.867188,259.900000,8.460000,300,0,1,0,0
361,1643449990354329,500.007000,44.629680,10.867133,260.800000,8.890000,300,0,0,1,0
362,1643449990854315,499.986000,44.629673,10.867076,261.300000,9.300000,300,0,0,1,0
363,1643449991354322,500.007000,44.629667,10.867020,260.800000,9.070000,300,0,0,1,0
364,1643449991854331,500.009000,44.629662,10.866963,262.700000,9.110000,300,0,0,1,0
365,1643449992254318,399.987000,44.629657,10.866920,261.200000,8.550000,300,1,0,0,0
366,1643449992754380,500.062000,44.629652,10.866868,261.600000,8.280000,300,0,0,1,0
367,1643449993254328,499.948000,44.629647,10.866819,261.600000,7.600000,300,1,0,0,0
368,1643449993854324,599.996000,44.629642,10.866765,263.200000,7.190000,300,0,0,1,0
369,1643449994254326,400.002000,44.629640,10.866730,264.000000,6.660000,300,1,0,0,0
370,1643449994854315,599.989000,44.629639,10.866682,269.200000,6.080000,300,1,1,0,0
371,1643449995254330,400.015000,44.629640,10.866654,274.100000,5.560000,300,1,1,0,0
372,1643449995654327,399.997000,44.629642,10.866627,278.300000,5.390000,300,0,1,0,0
373,1643449996054284,399.957000,44.629647,10.866601,283.200000,5.310000,300,0,1,0,0
374,1643449996254310,200.026000,44.629650,10.866590,289.700000,5.050000,300,0,1,0,0
375,1643449996454329,200.019000,44.629654,10.866578,294.900000,5.140000,300,0,1,0,0
376,1643449996654314,199.985000,44.629659,10.866566,299.400000,5.300000,300,0,1,0,0
377,1643449996854323,200.009000,44.629664,10.866555,304.200000,5.280000,300,0,1,0,0
378,1643449997054276,199.953000,44.629670,10.866544,308.500000,5.400000,300,0,1,0,0
379,1643449997254324,200.048000,44.629677,10.866534,314.000000,5.590000,300,0,1,0,0
380,1643449997354319,99.995000,44.629681,10.866529,318.000000,5.760000,300,0,1,0,0
381,1643449997554323,200.004000,44.629690,10.866520,323.400000,6.150000,300,0,1,0,0
382,1643449997754314,199.991000,44.629700,10.866512,327.900000,6.330000,300,0,1,0,0
