latitude,longitude
44.662119,10.925099
44.662117,10.925105
44.662093,10.925152
44.662089,10.925168
44.662068,10.925216
44.662047,10.925258
44.662033,10.925278
44.662032,10.925288
44.662007,10.925333
44.661988,10.925384
44.661986,10.925394
44.661977,10.92541
44.661956,10.925452
44.661932,10.925494
44.661925,10.925513
44.661904,10.925561
44.661882,10.925608
44.661868,10.925647
44.661857,10.925662
44.661838,10.925708
44.661817,10.925749
44.661797,10.925794
44.661775,10.925835
44.661756,10.92588
44.661749,10.9259
44.661731,10.925944
44.661713,10.925992
44.661702,10.926014
44.661679,10.926066
44.66166,10.92611
44.661643,10.926154
44.661622,10.926199
44.661596,10.92624
44.661573,10.926287
44.66155,10.926336
44.661525,10.926384
44.661501,10.926434
44.661479,10.926488
44.661458,10.926538
44.661436,10.92659
44.661419,10.926596
44.661397,10.926645
44.661373,10.926697
44.661357,10.926743
44.661334,10.926794
44.661311,10.926846
44.661295,10.926903
44.661273,10.926955
44.661247,10.927004
44.661225,10.927055
44.661201,10.927104
44.661178,10.927151
44.661156,10.9272
44.661133,10.927247
44.661111,10.927294
44.661089,10.92734
44.661084,10.927363
44.661064,10.927406
44.66104,10.927458
44.661027,10.927487
44.661015,10.927516
44.660996,10.927564
44.660974,10.927608
44.660949,10.927657
44.660928,10.927703
44.660908,10.927746
44.660887,10.927791
44.660868,10.927828
44.660866,10.927838
44.660861,10.927848
44.66084,10.927893
44.660828,10.927915
44.660805,10.927968
44.660781,10.928019
44.660758,10.928058
44.660731,10.928105
44.660737,10.928115
44.660715,10.92816
44.660695,10.928205
44.660675,10.928246
44.660656,10.928291
44.660642,10.92832
44.660637,10.928336
44.660629,10.928349
44.660616,10.928384
44.660595,10.928428
44.660584,10.928449
44.660572,10.928477
44.660569,10.928484
44.660555,10.928514
44.660543,10.928543
44.660535,10.928561
44.660519,10.928587
44.660512,10.928599
44.660511,10.928604
44.660509,10.928607
44.660505,10.928617
44.660485,10.928664
44.660483,10.928665
44.660477,10.928676
44.660458,10.928714
44.660451,10.928739
44.66045,10.928746
44.660443,10.928757
44.660439,10.928762
44.660433,10.928775
44.660429,10.928793
44.66041,10.928838
44.660388,10.928881
44.660379,10.928902
44.660365,10.928927
44.660342,10.928973
44.660334,10.928996
44.660314,10.929043
44.660303,10.929067
44.660297,10.929084
44.660285,10.929108
44.660284,10.929112
44.660279,10.92912
44.66027,10.929138
44.66027,10.929144
44.660261,10.929148
44.66026,10.92915
44.660251,10.929158
44.660256,10.929161
44.660256,10.929165
44.660254,10.929167
44.660253,10.929168
44.660253,10.929166
44.660251,10.929164
44.66025,10.929166
44.660249,10.929166
44.660245,10.929174
44.660243,10.929176
44.660243,10.929177
44.660241,10.929178
44.660237,10.929183
44.660236,10.929184
44.660235,10.929181
44.660229,10.929186
44.660223,10.929191
44.660219,10.929196
44.660212,10.929201
44.660209,10.929206
44.660203,10.92921
44.660205,10.929213
44.660187,10.929219
44.660179,10.929219
44.660162,10.929223
44.660159,10.929224
44.660151,10.929224
44.660146,10.929224
44.660105,10.929222
44.660095,10.929223
44.660073,10.929222
44.660061,10.929223
44.660028,10.929222
44.659997,10.929221
44.659965,10.92922
44.659927,10.92922
44.659918,10.929219
44.659876,10.929217
44.65983,10.929215
44.659793,10.929212
44.659754,10.929209
44.659713,10.929206
44.659672,10.929202
44.659628,10.929199
44.659585,10.929196
44.659541,10.929192
44.659501,10.929189
44.659459,10.929185
44.659421,10.929182
44.659381,10.92918
44.659345,10.929177
