seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
0,1654950171499280,100,44.637555,10.931624,-0.000000,0.000000,187,0,0,1,0
1,1654950171602367,100,44.637555,10.931624,-0.000000,0.000000,187,0,0,1,0
2,1654950171701705,100,44.637555,10.931624,-0.000000,0.000000,287,0,0,1,0
3,1654950171802832,100,44.637555,10.931624,-0.000000,0.000000,187,0,0,1,0
4,1654950171905636,100,44.637555,10.931624,-0.000000,0.000000,187,0,0,1,0
5,1654950172001841,100,44.637555,10.931624,-0.000000,0.000000,187,0,0,1,0
6,1654950172102074,100,44.637556,10.931624,-0.000000,0.000000,187,0,0,1,0
7,1654950172202022,100,44.637556,10.931624,-0.000000,0.000000,287,0,0,1,0
8,1654950172304242,100,44.637556,10.931624,-0.000000,0.000000,187,0,0,1,0
9,1654950172402660,100,44.637556,10.931624,-0.000000,0.000000,187,0,0,1,0
10,1654950172501351,100,44.637556,10.931624,-0.000000,0.000000,187,0,0,1,0
11,1654950172602688,100,44.637556,10.931624,-0.000000,0.000000,187,0,0,1,0
12,1654950172702436,100,44.637556,10.931624,-0.000000,0.000000,287,0,0,1,0
13,1654950172801735,100,44.637556,10.931624,-0.000000,0.000000,187,0,0,1,0
14,1654950172902818,100,44.637556,10.931624,-0.000000,0.000000,187,0,0,1,0
15,1654950173001540,100,44.637556,10.931624,-0.000000,0.000000,187,0,0,1,0
16,1654950173102078,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
17,1654950173202604,100,44.637556,10.931625,-0.000000,0.000000,287,0,0,1,0
18,1654950173301764,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
19,1654950173402788,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
20,1654950173503398,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
21,1654950173603067,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
22,1654950173703621,100,44.637556,10.931625,-0.000000,0.000000,287,0,0,1,0
23,1654950173806436,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
24,1654950173903137,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
25,1654950174011526,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
26,1654950174103351,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
27,1654950174205654,100,44.637556,10.931625,-0.000000,0.000000,287,0,0,1,0
28,1654950174303514,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
29,1654950174402698,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
30,1654950174504040,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
31,1654950174603553,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
32,1654950174703355,100,44.637556,10.931625,-0.000000,0.000000,287,0,0,1,0
33,1654950174804286,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
34,1654950174903951,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
35,1654950175010955,100,44.637556,10.931625,-0.000000,0.000000,187,0,0,1,0
36,1654950175104375,100,44.637556,10.931626,-0.000000,0.000000,187,0,0,1,0
37,1654950175202673,100,44.637556,10.931626,-0.000000,0.000000,287,0,0,1,0
38,1654950175303017,100,44.637556,10.931626,-0.000000,0.000000,187,0,0,1,0
39,1654950175404391,100,44.637556,10.931626,-0.000000,0.000000,187,0,0,1,0
40,1654950175505216,100,44.637556,10.931626,-0.000000,0.000000,187,0,0,1,0
41,1654950175603756,100,44.637556,10.931626,-0.000000,0.000000,187,0,0,1,0
42,1654950175701233,100,44.637556,10.931626,-0.000000,0.000000,287,0,0,1,0
43,1654950175802399,100,44.637556,10.931626,-0.000000,0.000000,187,0,0,1,0
44,1654950175902464,100,44.637556,10.931626,-0.000000,0.000000,187,0,0,1,0
45,1654950176002289,100,44.637556,10.931626,-0.000000,0.000000,187,0,0,1,0
46,1654950176108369,100,44.637556,10.931626,-0.000000,0.000000,187,0,0,1,0
47,1654950176205299,100,44.637556,10.931626,-0.000000,0.000000,287,0,0,1,0
