TgenCAM,Velocity,Heading,Distance,Timeout,Mixed
100,0.024596975236828987,0.07711484128303141,0.0019943493435266744,0.0,0.008475984709988367
200,0.04736579690875852,0.054179823832474654,0.01562240319095895,0.0,0.011799900282532822
300,0.03589828818348014,0.041715140435432944,0.1766661126807379,0.0,0.020608276549775636
400,0.02775469503074622,0.017118165198603954,0.1495762007645006,0.0,0.022935017450556757
500,0.013295662290177831,0.009140767824497258,0.05584178161874688,0.0,0.016287186305467844
600,0.005650656473325577,0.005318264916071131,0.02210403855742064,0.0,0.006481635366461691
700,0.0026591324580355663,0.0024929366794083432,0.008808376267242813,0.0,0.003323915572544458
800,0.0013295662290177827,0.002160545122153897,0.0031577197939172343,0.0,0.0018281535648994515
900,0.0008309788931361143,0.0008309788931361143,0.0028253282366627885,0.0,0.0006647831145088915
1000,0.0004985873358816686,0.0009971746717633372,0.001329566229017783,0.09838790094731595,0.00033239155725444574
