TgenCAM,Velocity,Heading,Distance,Timeout,Mixed
100,0.0076824583866837385,0.5272087067861716,0.0003201024327784891,0.0,0.02960947503201024
200,0.008482714468629962,0.21206786171574904,0.00016005121638924455,0.0,0.017125480153649168
300,0.004961587708066581,0.08034571062740077,0.0,0.0,0.00912291933418694
400,0.0027208706786171575,0.04033290653008963,0.0,0.0,0.004001280409731114
500,0.0019206145966709346,0.016805377720870675,0.0,0.0,0.0012804097311139564
600,0.0017605633802816902,0.008322663252240717,0.0,0.0,0.0003201024327784891
700,0.0009603072983354672,0.0057618437900128034,0.0,0.0,0.0008002560819462228
800,0.001120358514724712,0.003040973111395647,0.0,0.0,0.0003201024327784891
900,0.0006402048655569782,0.001440460947503201,0.0,0.0,0.00048015364916773366
1000,0.0003201024327784891,0.002240717029449424,0.0,0.0,0.0003201024327784891
1100,0.00048015364916773366,0.00048015364916773366,0.0,0.0,0.0
1200,0.0003201024327784891,0.0009603072983354673,0.0,0.0,0.0
1300,0.00032010243277848916,0.001440460947503201,0.0,0.0,0.0
1400,0.00048015364916773366,0.00048015364916773366,0.0,0.0,0.0
1500,0.00016005121638924455,0.0003201024327784891,0.0,0.0,0.0
1600,0.0,0.0003201024327784891,0.0,0.0,0.0
1700,0.00016005121638924455,0.0,0.0,0.0,0.0
1800,0.00016005121638924455,0.0,0.0,0.0,0.0
1900,0.0,0.00016005121638924455,0.0,0.0,0.0
2000,0.00016005121638924455,0.0,0.0,0.0,0.00016005121638924455
2100,0.0,0.00016005121638924455,0.0,0.0,0.0
2200,0.0,0.00016005121638924455,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0
2400,0.0,0.0,0.0,0.0,0.0
2500,0.0,0.0,0.0,0.0,0.0
2600,0.0,0.0,0.0,0.0,0.0
2700,0.0,0.0,0.0,0.0,0.0
2800,0.0,0.0,0.0,0.0,0.0
2900,0.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0,0.0,0.00016005121638924455
3100,0.0,0.0,0.0,0.0,0.0
3200,0.0,0.0,0.0,0.0,0.0
3300,0.00016005121638924455,0.0,0.0,0.0,0.0
3400,0.0,0.0,0.0,0.0,0.0
3500,0.0,0.0,0.0,0.0,0.0
3600,0.0,0.0,0.0,0.0,0.0
3700,0.0,0.00016005121638924455,0.0,0.0,0.0
3800,0.0,0.0,0.0,0.0,0.0
3900,0.0,0.0,0.0,0.0,0.0
4000,0.0,0.0,0.0,0.0,0.0
4100,0.0,0.0,0.0,0.0,0.0
4200,0.0,0.0,0.0,0.0,0.0
4300,0.0,0.0,0.0,0.0,0.0
4400,0.0,0.0,0.0,0.0,0.00016005121638924455
4500,0.0,0.00016005121638924455,0.0,0.0,0.0
4600,0.0,0.0,0.0,0.0,0.0
4700,0.0,0.0,0.0,0.0,0.0
4800,0.0,0.0,0.0,0.0,0.0
4900,0.0,0.0,0.0,0.0,0.0
5000,0.0,0.0,0.0,0.0003201024327784891,0.0
