seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
0,1638889161816642,0.000000,0.000000,131941.000000,-0.000000,0.000000,300,0,0,0,1
1,1638889161916702,100.060000,44.629296,10.947070,312.500000,1.260000,300,1,1,1,0
2,1638889162016700,99.998000,44.629297,10.947069,324.000000,1.170000,300,0,1,0,0
3,1638889162116707,100.007000,44.629292,10.947071,291.300000,1.060000,300,0,1,0,0
4,1638889162216715,100.008000,44.629293,10.947070,303.700000,1.310000,300,0,1,0,0
5,1638889162316704,99.989000,44.629293,10.947068,290.500000,1.320000,300,0,1,0,0
6,1638889162416705,100.001000,44.629294,10.947067,304.800000,1.260000,300,0,1,0,0
7,1638889162616706,200.001000,44.629296,10.947065,313.000000,1.070000,300,0,1,0,0
8,1638889162716703,99.997000,44.629297,10.947064,318.200000,1.270000,300,0,1,0,0
9,1638889162816704,100.001000,44.629297,10.947063,310.800000,1.260000,300,0,1,0,0
10,1638889162916708,100.004000,44.629298,10.947062,305.200000,1.010000,300,0,1,0,0
11,1638889163116704,199.996000,44.629303,10.947070,300.600000,0.930000,300,0,1,0,0
12,1638889163216705,100.001000,44.629304,10.947069,296.600000,1.050000,300,0,1,0,0
13,1638889163516699,299.994000,44.629304,10.947065,278.400000,1.120000,300,0,1,0,0
14,1638889163616700,100.001000,44.629305,10.947064,301.100000,1.160000,300,0,1,0,0
15,1638889163816704,200.004000,44.629306,10.947062,294.200000,0.860000,300,0,1,0,0
16,1638889163916704,100.000000,44.629307,10.947060,311.800000,1.350000,300,0,1,0,0
17,1638889164016733,100.029000,44.629308,10.947059,316.300000,1.460000,300,0,1,0,0
18,1638889164116661,99.928000,44.629307,10.947054,294.200000,1.310000,300,0,1,0,0
19,1638889164216704,100.043000,44.629307,10.947054,306.500000,1.180000,300,0,1,0,0
20,1638889164316717,100.013000,44.629307,10.947053,300.400000,0.880000,300,0,1,0,0
21,1638889164716721,400.004000,44.629309,10.947049,295.200000,0.940000,300,0,1,0,0
22,1638889164816723,100.002000,44.629310,10.947047,303.800000,1.130000,300,0,1,0,0
23,1638889165016740,200.017000,44.629311,10.947047,322.400000,0.930000,300,0,1,0,0
24,1638889165116721,99.981000,44.629304,10.947065,318.300000,1.030000,300,0,1,0,0
25,1638889165216723,100.002000,44.629306,10.947064,326.900000,1.130000,300,0,1,0,0
26,1638889165316702,99.979000,44.629306,10.947063,316.600000,0.970000,300,0,1,0,0
27,1638889165516706,200.004000,44.629307,10.947061,307.000000,1.030000,300,0,1,0,0
28,1638889165616704,99.998000,44.629307,10.947060,296.700000,0.950000,300,0,1,0,0
29,1638889165716704,100.000000,44.629308,10.947058,300.700000,1.310000,300,0,1,0,0
30,1638889165816705,100.001000,44.629309,10.947057,309.400000,1.180000,300,0,1,0,0
31,1638889166016703,199.998000,44.629310,10.947056,317.400000,1.100000,300,0,1,0,0
32,1638889166216703,200.000000,44.629311,10.947074,338.200000,1.680000,300,1,1,0,0
33,1638889166316702,99.999000,44.629311,10.947073,327.200000,1.460000,300,0,1,0,0
34,1638889166416703,100.001000,44.629312,10.947073,334.400000,1.380000,300,0,1,0,0
35,1638889166516703,100.000000,44.629313,10.947071,320.200000,1.410000,300,0,1,0,0
36,1638889166716703,200.000000,44.629314,10.947069,301.500000,1.110000,300,0,1,0,0
37,1638889166916698,199.995000,44.629314,10.947065,285.900000,1.300000,300,0,1,0,0
38,1638889167016703,100.005000,44.629315,10.947064,295.500000,1.260000,300,0,1,0,0
39,1638889167116701,99.998000,44.629310,10.947075,302.100000,1.210000,300,0,1,0,0
40,1638889167216703,100.002000,44.629310,10.947074,291.300000,0.890000,300,0,1,0,0
41,1638889167316716,100.013000,44.629311,10.947073,296.000000,0.910000,300,0,1,0,0
42,1638889167416701,99.985000,44.629312,10.947071,304.900000,1.220000,300,0,1,0,0
43,1638889167616713,200.012000,44.629313,10.947069,311.600000,1.310000,300,0,1,0,0
44,1638889167716702,99.989000,44.629314,10.947068,305.900000,1.150000,300,0,1,0,0
45,1638889167916700,199.998000,44.629315,10.947065,301.300000,1.220000,300,0,1,0,0
46,1638889168116700,200.000000,44.629312,10.947065,294.700000,1.320000,300,0,1,0,0
47,1638889168216712,100.012000,44.629313,10.947064,302.900000,1.380000,300,0,1,0,0
48,1638889168316699,99.987000,44.629313,10.947064,308.300000,0.870000,300,1,1,0,0
49,1638889168416700,100.001000,44.629315,10.947062,313.800000,1.360000,300,0,1,0,0
50,1638889168616698,199.998000,44.629316,10.947059,305.100000,1.280000,300,0,1,0,0
51,1638889168716701,100.003000,44.629317,10.947056,299.800000,2.040000,300,1,1,0,0
52,1638889168816702,100.001000,44.629318,10.947055,306.700000,1.770000,300,0,1,0,0
53,1638889169016687,199.985000,44.629318,10.947050,281.900000,1.810000,300,0,1,0,0
54,1638889169116706,100.019000,44.629313,10.947049,290.900000,2.260000,300,0,1,0,0
55,1638889169316707,200.001000,44.629313,10.947046,279.400000,1.510000,300,1,1,0,0
56,1638889169416699,99.992000,44.629314,10.947044,285.800000,1.450000,300,0,1,0,0
57,1638889169516702,100.003000,44.629316,10.947042,301.000000,1.750000,300,0,1,0,0
58,1638889169616701,99.999000,44.629317,10.947041,308.800000,1.490000,300,0,1,0,0
59,1638889169716701,100.000000,44.629318,10.947040,313.000000,1.520000,300,0,1,0,0
60,1638889169916698,199.997000,44.629319,10.947038,305.500000,1.070000,300,0,1,0,0
61,1638889170017228,100.530000,44.629321,10.947039,333.600000,1.230000,300,0,1,0,0
62,1638889170116702,99.474000,44.629318,10.947040,307.700000,0.770000,300,0,1,0,0
63,1638889170416712,300.010000,44.629319,10.947036,286.400000,0.990000,300,0,1,0,0
64,1638889170516698,99.986000,44.629320,10.947035,307.800000,0.950000,300,0,1,0,0
65,1638889170816699,300.001000,44.629321,10.947032,295.900000,1.030000,300,0,1,0,0
66,1638889170916698,99.999000,44.629321,10.947031,307.800000,1.020000,300,0,1,0,0
67,1638889171116698,200.000000,44.629324,10.947036,316.500000,1.390000,300,0,1,0,0
68,1638889171216698,100.000000,44.629324,10.947035,311.800000,1.220000,300,0,1,0,0
69,1638889171316695,99.997000,44.629325,10.947033,307.800000,1.190000,300,0,1,0,0
70,1638889171716710,400.015000,44.629328,10.947027,298.900000,1.490000,300,0,1,0,0
71,1638889171816714,100.004000,44.629328,10.947026,307.800000,1.250000,300,0,1,0,0
72,1638889171916720,100.006000,44.629330,10.947024,319.100000,1.680000,300,0,1,0,0
73,1638889172016703,99.983000,44.629331,10.947024,325.900000,1.530000,300,0,1,0,0
74,1638889172116708,100.005000,44.629331,10.947025,314.200000,1.660000,300,0,1,0,0
75,1638889172216723,100.015000,44.629332,10.947024,307.800000,1.290000,300,0,1,0,0
76,1638889172316723,100.000000,44.629331,10.947023,302.400000,1.140000,300,0,1,0,0
77,1638889172416719,99.996000,44.629332,10.947022,308.100000,1.110000,300,0,1,0,0
78,1638889173416716,999.997000,44.629339,10.947015,315.200000,1.390000,300,0,1,0,0
79,1638889173516697,99.981000,44.629339,10.947014,303.200000,1.240000,300,0,1,0,0
80,1638889173616701,100.004000,44.629340,10.947012,307.800000,1.340000,300,0,1,0,0
81,1638889173816703,200.002000,44.629340,10.947009,292.600000,1.270000,300,0,1,0,0
82,1638889173916702,99.999000,44.629341,10.947009,307.800000,0.900000,300,0,1,0,0
83,1638889174016715,100.013000,44.629341,10.947007,294.900000,1.300000,300,0,1,0,0
84,1638889174116701,99.986000,44.629343,10.947013,307.900000,0.920000,300,0,1,0,0
85,1638889174416702,300.001000,44.629345,10.947009,310.900000,1.550000,300,1,0,0,0
86,1638889174916701,499.999000,44.629350,10.947003,315.400000,1.490000,300,0,1,0,0
87,1638889175016716,100.015000,44.629350,10.947002,310.500000,1.430000,300,0,1,0,0
88,1638889175116703,99.987000,44.629347,10.947000,318.100000,1.440000,300,0,1,0,0
89,1638889175216704,100.001000,44.629348,10.947000,324.600000,1.180000,300,0,1,0,0
90,1638889175316702,99.998000,44.629349,10.947001,350.400000,1.050000,300,0,1,0,0
91,1638889175416700,99.998000,44.629350,10.947000,343.700000,1.290000,300,0,1,0,0
92,1638889175616702,200.002000,44.629352,10.946997,330.400000,1.240000,300,0,1,0,0
93,1638889175916702,300.000000,44.629355,10.946995,321.200000,1.250000,300,0,1,0,0
94,1638889176016713,100.011000,44.629355,10.946994,307.800000,1.010000,300,0,1,0,0
95,1638889176116704,99.991000,44.629352,10.946991,303.200000,1.390000,300,0,1,0,0
96,1638889176316701,199.997000,44.629353,10.946990,307.800000,0.850000,300,1,1,0,0
97,1638889176716702,400.001000,44.629356,10.946987,322.700000,1.120000,300,0,1,0,0
98,1638889176816701,99.999000,44.629357,10.946987,331.900000,1.180000,300,0,1,0,0
99,1638889177016716,200.015000,44.629358,10.946984,309.500000,1.120000,300,0,1,0,0
